"VDVC-Titel"	"OGDB-Matc"
"Rise of Flight"	(titel)
"Rise of Nations"	"Rise of Nations"
"Rise of the Triad"	"Rise of the Triad"
"Rise of Venice"	"Rise of Venice"
"Rising Storm"	"Rising Storm"
"Risk of Rain"	(titel)
"Roads of Rome 3"	"Roads of Rome 3"
"Robocraft"	(titel)
"Rockband 3"	(titel)
"RockBand"	(titel)
"Rocksmith 2014"	"Rocksmith 2014"
"Rogue Legacy"	"Rogue Legacy"
"RollerCoaster Tycoon 2"	"RollerCoaster Tycoon 2"
"RollerCoaster Tycoon 3"	"RollerCoaster Tycoon 3"
"RollerCoaster Tycoon"	"RollerCoaster Tycoon"
"Rome: Total War"	"Rome: Total War"
"Rules!"	Rules!
"Rumble Roses XX"	"Rumble Roses XX"
"(???) Runaway 1-3"	(titel)
"Runaway: A Road Adventure"	"Runaway: A Road Adventure"
"Rune Factory 4"	"Rune Factory 4"
"Rune Factory Frontier"	(titel)
"Runescape"	(titel)
"Runes of Magic"	"Runes of Magic"
"Running with Rifles"	(titel)
"R.U.S.E."	R.U.S.E.
"Rust"	(titel)
"Ryse: Son of Rome"	"Ryse: Son of Rome"
"S4 League"	(titel)
"Sacred 3"	"Sacred 3"
"Sacred Citadel"	"Sacred Citadel"
"Sacred"	Sacred
"Saints Row 2"	"Saints Row 2"
"Saints Row IV"	"Saints Row IV"
"Saints Row: The Third"	"Saints Row: The Third"
"Sakura Spirit"	(titel)
"salt"	(titel)
"Samurai Warriors 4"	"Samurai Warriors 4"
"Sanctum 2"	(titel)
"Sanctum"	Sanctum
"Satellite Reign"	(titel)
"Sauspiel Schafkopf"	(titel)
"Scarlet Blade"	(titel)
"(???) SC:BL"	(titel)
"(???) Schach"	(titel)
"Schleichfahrt"	Schleichfahrt
"School of Dragons"	(titel)
"(???) Scooby Doo"	(titel)
"Scrabble (Smartphone)"	(titel)
"Screencheat"	(titel)
"Scrolls"	(titel)
"Secret of Evermore"	"Secret of Evermore"
"Secret of Mana"	"Secret of Mana"
"Secret Ponchos"	"Secret Ponchos"
"Secret Weapons over Normandy"	"Secret Weapons over Normandy"
"Senran Kagura Shinovi Versus"	(titel)
"Sentinel 3: Homeworld"	"Sentinel 3: Homeworld"
"Serious Sam 2 HD"	(titel)
"Serious Sam 3: BFE"	"Serious Sam 3: BFE"
"Serious Sam HD: The First Encounter"	"Serious Sam HD: The First Encounter"
"Severance: Blade of Darkness"	"Severance: Blade of Darkness"
"Shadow Hearts"	"Shadow Hearts"
"Shadow Kings"	(titel)
"Shadow Man"	"Shadow Man"
"Shadowrun: Dragonfall"	(titel)
"Shadowrun Returns"	"Shadowrun Returns"
"Shadow Warrior (2013)"	(titel)
"Shadow Warrior"	"Shadow Warrior"
"Shadow  Warrior"	(titel)
"Shakes and Fidget"	(titel)
"Shakes shake and fidget" Fidget""	(titel)
"Shantae"	Shantae
"Shattered Horizon"	(titel)
"Shaun White Snowboarding"	"Shaun White Snowboarding"
"Sherlock Holmes and the Hound of Baskervilles"	(titel)
"Sherlock Holmes: Crimes and Punishments"	(titel)
"Shift 2: Unleashed"	"Shift 2: Unleashed"
"Shin Megami Tensei: Digital Devil Saga"	"Shin Megami Tensei: Digital Devil Saga"
"Shin Megami Tensei: Persona 3"	"Shin Megami Tensei: Persona 3"
"Shin Megami Tensei: Persona 4"	"Shin Megami Tensei: Persona 4"
"ShootMania"	(titel)
"Shovel Knight"	"Shovel Knight"
"Shroud of the Avatar: Forsaken Virtues"	(titel)
"Sideswiped"	(titel)
"Sid Meier's Alpha Centauri"	"Sid Meier's Alpha Centauri"
"Sid Meier's Civilization: Beyond Earth"	"Sid Meier's Civilization: Beyond Earth"
"Sid Meier's Civilization III"	"Sid Meier's Civilization III"
"Sid Meier's Civilization II"	"Sid Meier's Civilization II"
"Sid Meier's Civilization IV: Colonization"	"Sid Meier's Civilization IV: Colonization"
"Sid Meier's Civilization IV"	"Sid Meier's Civilization IV"
"Sid Meier's Civilization V"	(titel)
"Sid Meier's Pirates!"	"Sid Meier's Pirates!"
"Sid Meier's Railroad Tycoon"	"Sid Meier's Railroad Tycoon"
"(???) Siedler"	(titel)
"Sightline: The Chair"	(titel)
"Silent Hill (1999)"	(titel)
"Silent Hill 2"	"Silent Hill 2"
"(???) Silent Hill"	(titel)
"Silent Hunter 3"	(titel)
"Silent Hunter 4"	(titel)
"Silent Hunter 5: Battle of the Atlantic"	"Silent Hunter 5: Battle of the Atlantic"
"Simcity 2000 (1994)"	(titel)
"Sim City (2013)"	(titel)
"SimCity 4"	(titel)
"(???) SimCity"	(titel)
"Simon the Sorcerer"	"Simon the Sorcerer"
"(???) simpsons spiel fuer android"	(titel)
"(???) Simpsons"	(titel)
"(???) Simsons"	(titel)
"Sing Party"	(titel)
"Singstar"	SingStar
"Singularity"	Singularity
"Sins of a Solar Empire"	"Sins of a Solar Empire"
"Sins of the Dark Age"	(titel)
"Sir, you are being hunted"	(titel)
"skate 3"	"skate 3"
"S.K.I.L.L.-Special Force 2"	(titel)
"Skullgirls"	Skullgirls
"Skull Girls"	(titel)
"Skylanders Giants"	(titel)
"Skylanders: Swap Force (Starter Pack)"	"Skylanders: Swap Force (Starter Pack)"
"(???) Skylanders"	(titel)
"Skylanders: Trap Team"	(titel)
"Sleeping Dogs"	"Sleeping Dogs"
"Slenderman"	(titel)
"Sly Cooper: Thieves in Time"	"Sly Cooper: Thieves in Time"
"Small World"	(titel)
"(???) Smash Bros. Brawl for Wii U"	(titel)
"Smash Tennis"	"Smash Tennis"
"Smite"	(titel)
"Smugglers 5"	(titel)
"(???) Sniper Elite 3 + die 2 Zombie-Army Teile"	(titel)
"Sniper Elite 3"	(titel)
"Sniper Elite: Nazi Zombie Army 2"	"Sniper Elite: Nazi Zombie Army 2"
"Sniper Elite V2"	"Sniper Elite V2"
"Sniper Elite: Zombie Army"	"Sniper Elite: Zombie Army"
"S.N.O.W."	(titel)
"Söldner – Secret Wars"	(titel)
"SolForge"	(titel)
"Solitär"	Solitär
"S.O.L : Stone of Life EX"	(titel)
"Sonic Adventure DX"	"Sonic Adventure DX"
"Sonic Boom: Rise of Lyric"	(titel)
"Sonic Generations"	"Sonic Generations"
"Sonic Sonic All Star Racing" All-Stars Racing Transformed""	(titel)
"Sonic Sonic & All Stars Racing Transformed" All-Stars Racing Transformed""	(titel)
"Sonic Sonic & All-Stars Racing Transformed" All-Stars Racing Transformed""	(titel)
"Sonic sonic racing transformed" All-Stars Racing Transformed""	(titel)
"Sonic the Hedgehog 2"	"Sonic the Hedgehog 2"
"South Park: Der Stab der Wahrheit"	"South Park: Der Stab der Wahrheit"
"(???) Southpark"	(titel)
"(???) South Park"	(titel)
"Space Age: A Game of Space Adventure"	(titel)
"SpaceChem"	(titel)
"Space Engieeners"	(titel)
"Space Hulk: Ascension Edition"	(titel)
"Space Run"	(titel)
"Space Trader (Eigenproduktion)"	(titel)
"Spec Ops: The Line"	"Spec Ops: The Line"
"Speedrunners"	(titel)
"SpellForce 2: Demons of the Past"	"SpellForce 2: Demons of the Past"
"Spelunky"	Spelunky
"(???) SPIDERMAN"	(titel)
"Spider-Man Unlimited"	(titel)
"Spider Solitaire"	(titel)
"Spintires"	(titel)
"Spin Tires"	(titel)
"Spirits"	Spirits
"Spirit Stones"	(titel)
"Splice"	(titel)
"Split Second: Velocity"	(titel)
"Spore"	Spore
"(???) SSB"	(titel)
"S.T.A.L.K.E.R.: Call of Pripyat"	"S.T.A.L.K.E.R.: Call of Pripyat"
"S.T.A.L.K.E.R.: Clear Sky"	"S.T.A.L.K.E.R.: Clear Sky"
"S.T.A.L.K.E.R.: Shadow of Chernobyl"	"S.T.A.L.K.E.R.: Shadow of Chernobyl"
"Starbound"	(titel)
"Star Citizen"	(titel)
"Star Conflict"	(titel)
"(???) StarCraft II inkl. BroodWar"	(titel)
"(???) StarCraft III"	(titel)
"StarCraft II: Wings of Liberty"	"StarCraft II: Wings of Liberty"
"Starcraft"	StarCraft
"StarDrive"	(titel)
"Stargate: Resistance"	(titel)
"Star Made"	(titel)
"Star Ocean: The Last Hope"	"Star Ocean: The Last Hope"
"Star Pirates"	(titel)
"Starpoint Gemini 2"	(titel)
"Starpoint Gemini"	"Starpoint Gemini"
"Star Trek Online"	"Star Trek Online"
"Star Trek: Starfleet Academy"	"Star Trek: Starfleet Academy"
"Star Wars: Battlefront II"	"Star Wars: Battlefront II"
"Star Wars: Commander"	(titel)
"Star Wars: Empire at War"	"Star Wars: Empire at War"
"Star Wars: Episode III – Die Rache der Sith"	(titel)
"Star Wars: Force Collection"	(titel)
"Star Wars: Jedi Knight 2: Jedi Outcast"	(titel)
"Star Wars Jedi Knight: Jedi Academy"	(titel)
"Star Wars: Knights of the Old Republic II - The Sith Lords"	"Star Wars: Knights of the Old Republic II - The Sith Lords"
"Star Wars: Knights of the Old Republic"	"Star Wars: Knights of the Old Republic"
"Star Wars: The Battle of Endor"	(titel)
"Star Wars: The Force Unleashed 2"	(titel)
"Star Wars: The Force Unleashed"	"Star Wars: The Force Unleashed"
"Star Wars: The Old Republic"	"Star Wars: The Old Republic"
"Star Wars: TIE Fighter"	"Star Wars: TIE Fighter"
"Star Wars: Tiny Death Star"	(titel)
"(???) Star Wars"	(titel)
"Star Wars: X-Wing"	"Star Wars: X-Wing"
"Starwhal"	(titel)
"State of Decay: Breakdown"	"State of Decay: Breakdown"
"State of Decay"	"State of Decay"
"SteamWorld Dig"	"SteamWorld Dig"
"Steins;Gate"	(titel)
"Stick Hero"	(titel)
"Still Life 2"	"Still Life 2"
"Stonehearth"	(titel)
"Stonekeep"	Stonekeep
"Strategic Command Global Conflict"	(titel)
"Strategic Command World War 1"	(titel)
"Street Fighter Alpha 3"	"Street Fighter Alpha 3"
"Streetpass Mii-Lobby"	(titel)
"Strider"	Strider
"Stronghold Crusader 2"	(titel)
"Stronghold Crusader HD"	(titel)
"Stronghold Crusader"	(titel)
"Stronghold"	Stronghold
"Styx: Master of Shadows"	"Styx: Master of Shadows"
"Subway Surfers"	(titel)
"Subway Surfer"	(titel)
"Sudeki"	Sudeki
"Sudoku Free"	(titel)
"(???) Sudoku"	(titel)
"Suikoden"	Suikoden
"Summoners War: Sky Arena"	(titel)
"Sunless Sea"	(titel)
"Sunrider"	(titel)
"Sunset Overdrive"	(titel)
"Super Hexagon"	(titel)
"Super Mario 3D Land"	"Super Mario 3D Land"
"Super Mario 64"	"Super Mario 64"
"Super Mario Bros. 2"	"Super Mario Bros. 2"
"(???) Super Mario Bros."	(titel)
"Super Mario Galaxy"	"Super Mario Galaxy"
"Super Mario World"	"Super Mario World"
"Super Meat Boy"	"Super Meat Boy"
"Super Smash Bros 4"	"Super Smash Bros 4"
"Super Smash Bros. Brawl"	"Super Smash Bros. Brawl"
"Super Smash Bros. Melee"	"Super Smash Bros. Melee"
"(???) Super Smash Bros."	(titel)
"Super Smash  Bros  Wii U"	(titel)
"Supersonic Acrobatic Rocket-Powered Battle-Cars"	"Supersonic Acrobatic Rocket-Powered Battle-Cars"
"Super Street Fighter IV"	"Super Street Fighter IV"
"Super Street Fighter V"	(titel)
"Supreme Commander 2"	"Supreme Commander 2"
"Supreme Commander: Forged Alliance"	"Supreme Commander: Forged Alliance"
"Surgeon Simulator 2013"	(titel)
"Survarium"	(titel)
"SWAT 3"	(titel)
"SWAT 4"	"SWAT 4"
"(???) SW: KoToR 1 /2"	(titel)
"Sword Art Online: Hollow Fragment"	"Sword Art Online: Hollow Fragment"
"Sword of the Stars: The Pit"	(titel)
"Symphony"	(titel)
"System Shock 2"	"System Shock 2"
"Tactical Ops"	(titel)
"Take On Helicopters"	"Take on Helicopters"
"Tales from the Borderlands"	(titel)
"Tales of Aravorn: Seasons Of The Wolf"	(titel)
"Tales of hearts r"	(titel)
"Tales Of Hearts"	(titel)
"Tales of Innocence R"	"Tales of Innocence R"
"Tales of Phantasia"	"Tales of Phantasia"
"Tales of Symphonia: Dawn of the New World"	"Tales of Symphonia: Dawn of the New World"
"Tales of Symphonia"	"Tales of Symphonia"
"Tales of Xillia 2"	"Tales of Xillia 2"
"Tales of Xillia"	"Tales of Xillia"
"Tangled"	(titel)
"Team Fortress 2"	"Team Fortress 2"
"Team Fortress Classic"	"Team Fortress Classic"
"Teeworlds"	(titel)
"Tekken 6"	"Tekken 6"
"Tekken Tag Tournament 2"	"Tekken Tag Tournament 2"
"Tekken Tag Tournament"	"Tekken Tag Tournament"
"Tekken"	Tekken
"Teleglitch: Die More Edition"	(titel)
"Teleglitch"	(titel)
"Temple Run 2"	(titel)
"Temple Run"	(titel)
"(???) Tentacle Girl"	(titel)
"(???) Tentacle Wars"	(titel)
"Tera Online"	(titel)
"Terra Battle"	(titel)
"Terranigma"	Terranigma
"Terraria"	Terraria
"Tesla Effect: A Tex Murphy Adventure"	(titel)
"Tetris"	Tetris
"Tetris Ultimate"	(titel)
"Texas Hold'Em King 2"	(titel)
"The Age of Decadence"	(titel)
"The Amazing Spider-Man 2"	"The Amazing Spider-Man 2"
"The Amazing Spider-Man"	"The Amazing Spider-Man"
"Theatrhythm Final Fantasy: Curtain Call"	(titel)
"The Banner Saga"	(titel)
"The Bard's Tale"	"The Bard's Tale"
"The Battle for Wesnoth"	(titel)
"The Binding of Isaac: Rebirth"	"The Binding of Isaac: Rebirth"
"The Binding of Isaac. Rebirth"	(titel)
"The Binding of Isaac"	(titel)
"The Blackwell Epiphany"	(titel)
"The Blackwell Legacy"	"The Blackwell Legacy"
"The Book of Unwritten Tales 2"	(titel)
"The Book of Unwritten Tales"	"The Book of Unwritten Tales"
"The Bridge"	(titel)
"The Cat Lady"	(titel)
"The Cave"	"The Cave"
"The Chronicles of Riddick: Escape from Butcher Bay"	"The Chronicles of Riddick: Escape from Butcher Bay"
"(???) The Chronicles of Riddick"	(titel)
"The Crew"	"The Crew"
"the  crew"	(titel)
"The Curious Expedition"	(titel)
"The Darkness II"	"The Darkness II"
"The Elder Scrolls III: Morrowind"	"The Elder Scrolls III: Morrowind"
"The Elder Scrolls IV: Oblivion"	"The Elder Scrolls IV: Oblivion"
"(???) The Elder Scrolls: Oblivion/Skyrim"	(titel)
"The Elder Scrolls Online"	"The Elder Scrolls Online"
"The Elder Scrolls V: Skyrim"	"The Elder Scrolls V: Skyrim"
"(???) The Endless"	(titel)
"The Escapist"	(titel)
"The Evil Within"	"The Evil Within"
"the evil  within"	(titel)
"The Expandabros"	(titel)
"The Forest"	(titel)
"The G.G. Shinobi"	(titel)
"The Golf Club"	"The Golf Club"
"(???) The GReat Giana Sisters Twisted Dreams"	(titel)
"TheHunter"	(titel)
"The Hunter"	(titel)
"The Incredible Adventures of Van Helsing"	(titel)
"The Inner World"	(titel)
"The Last Of Us: Factions"	(titel)
"The Last of Us: Remastered"	(titel)
"The Last of Us"	"The Last of Us"
"The Last Remnant"	"The Last Remnant"
"The Last Story"	"The Last Story"
"The Last Tinker: City of Colors"	(titel)
"The Legend of Zelda: A Link between Worlds"	"The Legend of Zelda: A Link Between Worlds"
"The Legend of Zelda: A Link to the Past"	"The Legend of Zelda: A Link to the Past"
"The Legend of Zelda: Majora's Mask"	"The Legend of Zelda: Majora's Mask"
"The Legend of Zelda: Ocarina of Time"	"The Legend of Zelda: Ocarina of Time"
"The Legend of Zelda: Oracle of Ages"	"The Legend of Zelda: Oracle of Ages"
"The Legend Of Zelda: Skyward Sword"	"The Legend Of Zelda: Skyward Sword"
"The Legend of Zelda: Spirit Tracks"	"The Legend of Zelda: Spirit Tracks"
"The Legend of Zelda: The Wind Waker"	"The Legend of Zelda: The Wind Waker"
"(???) The Legend of Zelda"	(titel)
"The Legend of Zelda: Twilight Princess"	"The Legend of Zelda: Twilight Princess"
"The LEGO Movie Videogame"	"The LEGO Movie Videogame"
"The Long Dark"	(titel)
"The Longest Journey"	"The Longest Journey"
"The Lost Vikings"	"The Lost Vikings"
"The Masterplan"	(titel)
"Theme Hospital"	"Theme Hospital"
"The Night of the Rabbit"	(titel)
"The Organ Trail"	(titel)
"The Pinball Arcade"	"The Pinball Arcade"
"The Saboteur"	"The Saboteur"
"The Sailor's Dream"	(titel)
"The Samaritan Paradox"	(titel)
"The Second World"	"The Second World"
"The Secret of Monkey Island - Special Edition"	(titel)
"The Secret of Monkey Island"	"The Secret of Monkey Island"
"The Secret World"	"The Secret World"
"The Ship"	(titel)
"The Simpsons: Springfield"	(titel)
"The Simpsons: Tapped Out"	(titel)
"The Stanley Parable"	(titel)
"The Swapper"	"The Swapper"
"The Talos Principle"	(titel)
"The Third Age" Mod für Medieval II:Total War""	(titel)
"The Thirty-Nine Steps"	(titel)
"The Tiny Bang Story"	"The Tiny Bang Story"
"(???) The tribes tribe's and castles" castles""	(titel)
"The Vanishing of Ethan Carter"	"The Vanishing of Ethan Carter"
"the walking  dead telltall"	(titel)
"The Walking Dead"	(titel)
"The Witcher 2: Assassins of Kings"	"The Witcher 2: Assassins of Kings"
"The  Witcher 2"	(titel)
"The Witcher Adventure Game"	(titel)
"The Witcher"	"The Witcher"
"The Wolf Among Us"	(titel)
"The Wonderful 101"	"The Wonderful 101"
"The Yawhg"	(titel)
"(???) Thief 1-3"	(titel)
"Thief 4"	(titel)
"Thief"	Thief
"This War of Mine"	"This War of Mine"
"this  war of  mine"	(titel)
"Threes!"	Threes!
"Time Ramesside"	(titel)
"Tiny and Big: Grandpa's Leftovers"	(titel)
"Tiny Tower"	(titel)
"Tiny Troopers"	(titel)
"Titan Attacks!"	"Titan Attacks!"
"TITAN  ATTACKS"	(titel)
"Titanfall"	Titanfall
"Titan Quest"	"Titan Quest"
"(???) Titan"	(titel)
"(???) -"	(titel)
"Toki Tori"	"Toki Tori"
"(???) Tomb Raider 1 + 2"	(titel)
"Tomb Raider 2"	"Tomb Raider 2"
"(???) Tomb Raider - Alle Teile"	(titel)
"Tomb Raider: Anniversary"	"Tomb Raider: Anniversary"
"Tomb Raider: Definitive Edition"	"Tomb Raider: Definitive Edition"
"Tomb Raider"	"Tomb Raider"
"Tomb Raider: Underworld"	"Tomb Raider: Underworld"
"Tom Clancy's Ghost Recon Advanced Warfighter"	(titel)
"Tom Clancy's Ghost Recon: Phantoms"	(titel)
"Tom Clancy's Ghost Recon"	"Tom Clancy's Ghost Recon"
"Tom Clancy's Rainbow Six: Rogue Spear"	"Tom Clancy's Rainbow Six: Rogue Spear"
"Tom Clancy's Splinter Cell: Blacklist"	"Tom Clancy's Splinter Cell: Blacklist"
"Tom Clancy's Splinter Cell: Conviction"	"Tom Clancy's Splinter Cell: Conviction"
"TOME: Immortal Arena"	(titel)
"(???) Tome"	(titel)
"Tomodachi Life"	"Tomodachi Life"
"Tony Hawk's Pro Skater 3"	"Tony Hawk's Pro Skater 3"
"Tony Hawk's Pro Skater HD"	"Tony Hawk's Pro Skater HD"
"Tony Hawk's Underground 2"	"Tony Hawk's Underground 2"
"Top Eleven"	(titel)
"Torchlight II"	"Torchlight II"
"Torchlight"	Torchlight
"Total War Battles: Kingdom"	(titel)
"Total War: Rome II"	"Total War: Rome II"
"Total War: Shogun 2"	"Total War: Shogun 2"
"Total War: Shogun"	(titel)
"(???) Total War (Spielereihe)"	(titel)
"(???) Total War"	(titel)
"To the Moon"	"To the Moon"
"TowerFall Ascension"	(titel)
"Township"	(titel)
"Townsmen"	(titel)
"Toybox Turbos"	(titel)
"Toy Soldiers"	"Toy Soldiers"
"TrackMania 2"	(titel)
"Trackmania Nations Forever"	(titel)
"Trackmania Nations"	"TrackMania Nations"
"TrackMania"	TrackMania
"TrackMania United"	"TrackMania United"
"Traffic Racer"	(titel)
"Train Fever"	(titel)
"Train Simulator 2014"	(titel)
"Train Simulator 2015"	(titel)
"Transformers: Fall of Cybertron"	"Transformers: Fall of Cybertron"
"Transistor"	Transistor
"TransOcean: The Shipping Company"	(titel)
"Transport Tycoon"	"Transport Tycoon"
"Trials: Frontier"	(titel)
"Trials: Fusion"	"Trials: Fusion"
"(???) Trials"	(titel)
"Tribes: Ascend"	(titel)
"(???) Trine 1+2"	(titel)
"Trine 2"	"Trine 2"
"Trine"	Trine
"TRI: Of Friendship and Madness"	(titel)
"Triple Town"	(titel)
"Tron 2.0"	"TRON 2.0"
"Tropico 3"	"Tropico 3"
"Tropico 4"	"Tropico 4"
"Tropico 5"	(titel)
"Tropico"	Tropico
"Trove"	(titel)
"Turbo Dismount"	(titel)
"Turok 2: Seeds of Evil"	"Turok 2: Seeds of Evil"
"Two Worlds II"	"Two Worlds II"
"(???) ufc"	(titel)
"UFC Undisputed 3"	"UFC Undisputed 3"
"UFO: Enemy Unknown"	"UFO: Enemy Unknown"
"UFO: Extraterrestrials"	"UFO: Extraterrestrials"
"Ultima IV: Quest of the Avatar"	"Ultima IV: Quest of the Avatar"
"Ultima Online"	"Ultima Online"
"Ultimate NES Remix"	"Ultimate NES Remix"
"Ultra Street Fighter IV"	"Ultra Street Fighter IV"
"Uncharted 2: Among Thieves"	"Uncharted 2: Among Thieves"
"Uncharted 3"	(titel)
"Uncharted: Drakes Schicksal"	"Uncharted: Drakes Schicksal"
"(???) Uncharted"	(titel)
"(???) Unchartet 1-3"	(titel)
"Underrail"	(titel)
"Underworld Empire"	(titel)
"Und mehr"	(titel)
"Unholy Heights"	(titel)
"Universe Sandbox"	(titel)
"Uniwar"	(titel)
"Unmechanical"	(titel)
"Unreal Tournament 2003"	"Unreal Tournament 2003"
"Unreal Tournament 2004"	"Unreal Tournament 2004"
"Unreal"	Unreal
"Unturned"	(titel)
"Vagrant Story"	"Vagrant Story"
"Vainglory"	(titel)
"Valiant Hearts: The Great War"	"Valiant Hearts: The Great War"
"Valkyria Chronicles"	"Valkyria Chronicles"
"Vampire the Masquerade: Bloodlines"	(titel)
"Vector Thrust"	(titel)
"Velocity 2X"	"Velocity 2X"
"Velvet Assassin"	"Velvet Assassin"
"Verdun"	(titel)
"Victim of Xen"	(titel)
"Victoria II"	(titel)
"(???) viele Indie-Puzzle/Adventure-Spiele"	(titel)
"Vindictus"	(titel)
"Violett"	(titel)
"Virtua Tennis 4"	"Virtua Tennis 4"
"Virtue's Last Reward"	"Virtue's Last Reward"
"Viscera Cleanup Detail"	(titel)
"Völgarr the Viking"	"Völgarr the Viking"
"Volo Airsport"	(titel)
"WAKFU"	(titel)
"Warcraft III: Reign of Chaos"	"WarCraft III: Reign of Chaos"
"Warface"	Warface
"Warframe"	Warframe
"Wargame: Airland Battle"	"Wargame: AirLand Battle"
"Wargame: Red Dragon"	"Wargame: Red Dragon"
"Warhammer 40,000: Armageddon"	(titel)
"Warhammer 40,000: Dawn of War II"	"Warhammer 40,000: Dawn of War II"
"Warhammer 40,000: Dawn of War"	"Warhammer 40,000: Dawn of War"
"Warhammer 40,000: Space Marine"	"Warhammer 40,000: Space Marine"
"Warhammer: Mark of Chaos"	"Warhammer: Mark of Chaos"
"War in the Pacific"	(titel)
"Wario Ware, Inc. Minigame Mania"	"Wario Ware, Inc. Minigame Mania"
"Warlock: Master of Arcane"	(titel)
"Warlords: Battlecry III"	"Warlords: Battlecry III"
"Warmachine: Tactics"	(titel)
"War of the Roses"	(titel)
"War Thunder"	"War Thunder"
"Warzone 2100"	"Warzone 2100"
"Wasteland 2"	(titel)
"Wasteland   2"	(titel)
"Watch_Dogs"	Watch_Dogs
"Way of the Samurai 4"	"Way of the Samurai 4"
"WET"	WET
"(???) Wice star"	(titel)
"Wii Fit U"	"Wii Fit U"
"Wii Party U"	"Wii Party U"
"WildStar"	(titel)
"Wimmelbildspiele (Big Fish)"	(titel)
"Wing Commander III: Heart of the Tiger"	"Wing Commander III: Heart of the Tiger"
"(???) Wing Commander"	(titel)
"Wings of Vi"	(titel)
"(???) Wipe Out"	(titel)
"Wizardry: Crusaders of the Dark Savant"	"Wizardry: Crusaders of the Dark Savant"
"Wizard's Choice"	(titel)
"Wolfenstein: Enemy Territory"	"Wolfenstein: Enemy Territory"
"Wolfenstein: The New Order"	"Wolfenstein: The New Order"
"Wolfenstein"	Wolfenstein
"World Cruise Story"	(titel)
"World in Conflict"	"World in Conflict"
"World In Conflict"	"World in Conflict"
"World of Guns: Gun Disassembly"	(titel)
"World of Tanks"	"World of Tanks"
"World of  Warcraft"	(titel)
"World  of Warcraft"	(titel)
"World of Warcraft"	"World of WarCraft"
"World of Warplanes"	"World of Warplanes"
"World Soccer Winning Eleven 9"	"World Soccer Winning Eleven 9"
"World War II Online"	(titel)
"Worms 2: Armageddon"	"Worms 2: Armageddon"
"(???) Worms 3"	(titel)
"Worms Armageddon"	"Worms Armageddon"
"Worms: Battlegrounds"	"Worms: Battlegrounds"
"Worms: Clan Wars"	"Worms: Clan Wars"
"Worms: Reloaded"	(titel)
"Worms: Revolution"	"Worms: Revolution"
"Worms: Ultimate Mayhem"	"Worms: Ultimate Mayhem"
"Worms"	Worms
"WRC 4 FIA World Rally Championship"	(titel)
"WRC: Powerslide"	(titel)
"WWE 2k13"	(titel)
"WWE 2k14"	"WWE 2K14"
"WWE 2k15"	"WWE 2K15"
"WWE Smackdown vs. Raw 2008"	(titel)
"X3: Albion Prelude"	(titel)
"X3: Gold Edition"	(titel)
"X3: Terran Conflict"	(titel)
"X: Beyond The Frontier"	"X: Beyond the Frontier"
"XCOM: Enemy Unknown"	"XCOM: Enemy Unknown"
"XCOM: Enemy Within"	"XCOM: Enemy Within"
"X-COM: Terror from the Deep"	"X-COM: Terror from the Deep"
"(???) X-Com"	(titel)
"(???) X:COM"	(titel)
"XCOM UFO Defense"	(titel)
"Xenonauts"	(titel)
"XIII"	"XIII"
"X-Plane 10"	(titel)
"(???) X-Plane"	(titel)
"X: Rebirth"	"X: Rebirth"
"XStoryPlayer 3.0"	(titel)
"X: Superbox"	(titel)
"Yakuza 4"	"Yakuza 4"
"YGOPro DevPro"	(titel)
"Yoshi's Story"	"Yoshi's Story"
"Ys Origin"	"Ys Origin"
"Yu-Gi-Oh! Worldwide Edition: Stairway to the Destined Duel"	"Yu-Gi-Oh! Worldwide Edition: Stairway to the Destined Duel"
"Zengrams"	(titel)
"Zombie Driver HD"	"Zombie Driver HD"
"Zombie Roadkill"	(titel)
"Zombies vs. Plants"	(titel)
"Zoo Tycoon"	"Zoo Tycoon"
"Zug um Zug"	(titel)
"Z"	"Z"
