"VDVC-Titel"	"OGDB-Matc"
"Candy Crush Soda Saga"	(titel)
"Candy Crush"	(titel)
"Captain Toad: Treasure Tracker"	"Captain Toad: Treasure Tracker"
"Carcassonne"	Carcassonne
"Carmageddon II: Carpocalypse Now"	"Carmageddon II: Carpocalypse Now"
"Caste Ville"	(titel)
"Castle Clash"	(titel)
"Castle Crashers"	"Castle Crashers"
"Castle Crush"	(titel)
"CastleMiner Z"	(titel)
"Castlestorm"	Castlestorm
"Castle story"	(titel)
"Castlevania: Lords of Shadow 2"	"Castlevania: Lords of Shadow 2"
"Castlevania: Lords of Shadow"	"Castlevania: Lords of Shadow"
"Castlevania: Lords of Shadow - Mirror of Fate HD"	"Castlevania: Lords of Shadow - Mirror of Fate HD"
"Castlevania: Lords of Shadow – Mirror of Fate"	(titel)
"Catherine"	Catherine
"Cave Story+"	(titel)
"(???) CC&C alle Teile"C alle Teile""	(titel)
"Ceasar IV"	(titel)
"Ceville"	Ceville
"Champions Online"	"Champions Online"
"Chaos auf Deponia"	"Chaos auf Deponia"
"Chariot"	(titel)
"Chess 2 - The Sequel"	(titel)
"Chess (Jeroen Carolus)"	(titel)
"Child of Light"	"Child of Light"
"Children of Mana"	"Children of Mana"
"Chivalry: Medieval Warfare"	"Chivalry: Medieval Warfare"
"Chrono Trigger"	"Chrono Trigger"
"Circuits"	(titel)
"Cities in Motion 2"	"Cities in Motion 2"
"Cities in Motion"	"Cities in Motion"
"Cities XL Platinum"	(titel)
"(???) civ 6"	(titel)
"Civ. Beyond Earth"	(titel)
"Civilization  Beyond Earth"	(titel)
"Civilization Revolution"	(titel)
"(???) Civilization"	(titel)
"Clash of Clans"	(titel)
"Clicker heroes"	(titel)
"Clonk Rage"	(titel)
"ClusterPuck 99"	(titel)
"Cognition: An Erica Reed Thriller"	(titel)
"(???) Colin Mcrae rally"	(titel)
"Combat Arms"	"Combat Arms"
"Command and Conquer 3: Tiberium Wars"	(titel)
"Command C&C Alarmstufe Rot 3" Conquer: Alarmstufe Rot 3""	(titel)
"Command C&C Generals" Conquer: Generals""	(titel)
"Command C&C generals + Zero hour" Conquer: Generals""	(titel)
"Command C&C Tiberian Sun" Conquer: Tiberian Sun""	(titel)
"Command Command and Conquer Alarmstufe Rot 3" Conquer: Alarmstufe Rot 3""	(titel)
"Command command and conquer" Conquer""	(titel)
"Command Command and Conquer" Conquer""	(titel)
"Command command&conquer allianzes" Conquer: Tiberium Alliances""	(titel)
"Command Command & Conquer" Conquer""	(titel)
"Command Command & Conquer Generals" Conquer: Generals""	(titel)
"Command Command & Conquer: Renegade" Conquer: Renegade""	(titel)
"Command Commando and Conquer Generals" Conquer: Generals""	(titel)
"Company of Heroes 2"	"Company of Heroes 2"
"Company of  Heroes 2"	(titel)
"Company of Heroes"	"Company of Heroes"
"Company of  Heroes"	(titel)
"Construction Simulator 2015"	(titel)
"Contagion"	(titel)
"Cookie Clicker"	(titel)
"Cook, Serve, Delicious!"	(titel)
"CosmicBreak"	(titel)
"Cosmonautica"	(titel)
"Costume Quest 2"	"Costume Quest 2"
"Costume Quest"	"Costume Quest"
"Counter-Strike"	Counter-Strike
"Counter-Strike: Global Offensive"	"Counter-Strike: Global Offensive"
"Counter-Strike: Source"	"Counter-Strike: Source"
"Craft The World"	(titel)
"Crash Bandicoot 2"	(titel)
"Crawl"	(titel)
"Crazy Taxi"	"Crazy Taxi"
"Creeper World 3 - Knuckle Cracker"	(titel)
"Crime City"	"Crime City"
"Criminal Case"	(titel)
"Crimsonland"	Crimsonland
"Crimson Shroud"	"Crimson Shroud"
"Croqinole"	(titel)
"Crusader Kings II"	"Crusader Kings II"
"Cry of Fear"	(titel)
"Crypt of the NecroDancer"	(titel)
"Crysis 2"	"Crysis 2"
"Crysis 3"	"Crysis 3"
"Crysis"	Crysis
"CSI: Hidden Crimes"	(titel)
"Curve Fever"	(titel)
"Cut The Rope 2"	(titel)
"Cytus"	(titel)
"Daedelus"	(titel)
"Danganronpa 2: Goodbye Despair"	"Danganronpa 2: Goodbye Despair"
"Danganronpa"	(titel)
"Dark Age of Camelot"	"Dark Age of Camelot"
"Dark Chronicle"	"Dark Chronicle"
"DARK"	Dark
"Darkest of Days"	"Darkest of Days"
"Darkfall Online"	(titel)
"Dark Messiah of Might and Magic"	(titel)
"Darkness Reborn"	(titel)
"Darkness Within: In Pursuit of Loath Nolder"	"Darkness Within: In Pursuit of Loath Nolder"
"Dark Project 2: The Metal Age"	(titel)
"Dark Project: Der Meisterdieb"	"Dark Project: Der Meisterdieb"
"Dark Raid"	(titel)
"Darksiders 2"	(titel)
"Darksiders"	Darksiders
"(???) Dark Souls 1+2"	(titel)
"Dark Souls"	"Dark Souls"
"Dark Souls II"	"Dark Souls II"
"Dark Souls - Prepare to Die Edition"	(titel)
"Darwinia"	Darwinia
"Das Schwarze Auge: Blackguards"	(titel)
"Das Schwarze Auge: Demonicon"	(titel)
"Das Schwarze Auge: Drakensang"	"Das Schwarze Auge: Drakensang"
"Das Schwarze Auge: Satinavs Ketten"	"Das Schwarze Auge: Satinavs Ketten"
"Dawn of War II"	(titel)
"Dawn of War"	(titel)
"Daylight"	Daylight
"Day of Defeat"	"Day of Defeat"
"Day of Defeat: Source"	"Day of Defeat: Source"
"DayZ Standalone"	(titel)
"DCS: A-10C Warthog - Digital Combat Simulator"	(titel)
"DC Universe Online"	"DC Universe Online"
"DeadCore"	(titel)
"Deadfall Adventures"	"Deadfall Adventures"
"Dead Island"	"Dead Island"
"Dead Island: Epidemic"	(titel)
"Dead Island: Riptide"	"Dead Island: Riptide"
"Deadlight"	Deadlight
"Deadly Premonition"	"Deadly Premonition"
"Deadpool"	Deadpool
"Dead Rising 3"	"Dead Rising 3"
"Dead Rising"	"Dead Rising"
"Dead Space 2"	"Dead Space 2"
"Dead Space 3"	"Dead Space 3"
"Dead Space"	"Dead Space"
"Dead State"	(titel)
"Dear Esther"	(titel)
"Defender's Quest: Valley of the Forgotten"	(titel)
"Defense Grid 2"	"Defense Grid 2"
"Defense Grid: The Awakening"	"Defense Grid: The Awakening"
"Defiance"	Defiance
"Defy Gravity"	(titel)
"Deliverance-Kingdome Comes Tech Alpha"	(titel)
"Delta Force: Black Hawk Down"	"Delta Force: Black Hawk Down"
"Delver"	(titel)
"Democracy 3"	(titel)
"Demon's Souls"	"Demon's Souls"
"(???) Deponia 1-3"	(titel)
"Deponia"	Deponia
"(???) Deponia-Serie"	(titel)
"(???) Deponia (Teil 2 Deponia (Teil 2 & 3 )" 3 )""	(titel)
"Deponia -  the Complete Journey"	(titel)
"Deponia: The Complete Journey"	(titel)
"Depth"	(titel)
"Der Herr der Ringe: Der Krieg im Norden"	"Der Herr der Ringe: Der Krieg im Norden"
"Der Herr der Ringe: Die Schlacht um Mittelerde 2"	(titel)
"Der Herr der Ringe: Die Schlacht um Mittelerde"	"Der Herr der Ringe: Die Schlacht um Mittelerde"
"Der Herr der Ringe Online"	(titel)
"der herr der ringe  schlacht um mittelerde"	(titel)
"Der Puppenspieler"	"Der Puppenspieler"
"Desperados: Wanted Dead or Alive"	"Desperados: Wanted Dead or Alive"
"Despicable Me: Minion Rush"	(titel)
"Destiny"	Destiny
"Deus Ex"	"Deus Ex"
"Deus Ex: Human Revolution"	"Deus Ex: Human Revolution"
"Deus Ex: The Fall"	"Deus Ex: The Fall"
"Devil May Cry"	"Devil May Cry"
"Devil's Attorney"	(titel)
"diablo  3"	(titel)
"Diablo"	Diablo
"Diablo II"	"Diablo II"
"Diablo III"	"Diablo III"
"Die Gilde"	(titel)
"Die Kunst des Mordens: Geheimakte FBI"	"Die Kunst des Mordens: Geheimakte FBI"
"Die Siedler 7"	"Die Siedler 7"
"Die Siedler – Aufstieg eines Königreichs"	(titel)
"Die Siedler II – Die nächste Generation"	(titel)
"Die Siedler II"	"Die Siedler II"
"Die Siedler III"	"Die Siedler III"
"Die Siedler IV"	"Die Siedler IV"
"Die Siedler Online"	(titel)
"Die Sielder - Das Erbe der Könige"	(titel)
"(???) Die Sims 2 / 3"	(titel)
"Die Sims 2"	"Die Sims 2"
"Die Sims 3"	"Die Sims 3"
"Die Sims 4"	(titel)
"Die Stämme"	(titel)
"Dino D-Day"	(titel)
"Dirks kostenloser Fussballmanager"	(titel)
"Dirt 2"	"DiRT 2"
"Dirt 3"	"DiRT 3"
"(???) Dirt Sc"	(titel)
"Dirt: Showdown"	(titel)
"Dirty Bomb"	(titel)
"Dishonored: Die Maske des Zorns"	"Dishonored: Die Maske des Zorns"
"Disney Infinity: 2.0 Edition"	(titel)
"Disney Infinity"	(titel)
"Distant Worlds"	"Distant Worlds"
"(???) diverse iPhone"	(titel)
"Divine Divinity"	"Divine Divinity"
"Divinity 2: Ego Draconis"	(titel)
"Divinity: Original Sin"	"Divinity: Original Sin"
"(???) Divinity"	(titel)
"Dofus"	(titel)
"Dogfight 1942"	"Dogfight 1942"
"Donkey Kong Country"	"Donkey Kong Country"
"Donkey Kong Country Returns"	"Donkey Kong Country Returns"
"Donkey Kong Country: Tropical Freeze"	"Donkey Kong Country: Tropical Freeze"
"Don't Starve"	"Don't Starve"
"Doodle God"	(titel)
"Doodle Jump"	"Doodle Jump"
"Doom 2"	(titel)
"Doom 3"	"Doom 3"
"Doom"	Doom
"Doom Doom & Destiny" Destiny""	(titel)
"Door Kickers"	(titel)
"Doppelkopf"	(titel)
"DotA 1"	(titel)
"Dota 2"	(titel)
"(???) Doto.2"	(titel)
"Downfall"	(titel)
"(???) Downhill Racing"	(titel)
"(???) Dragon Age 1 - 3"	(titel)
"(???) Dragon Age 1+3"	(titel)
"(???) Dragon Age alle Teile"	(titel)
"Dragon Age II"	"Dragon Age II"
"Dragon Age: Inquisition"	"Dragon Age: Inquisition"
"Dragon Age  Inquisition"	(titel)
"Dragon Age. Inquisition"	(titel)
"Dragon  Age: Inquisition"	(titel)
"(???) Dragon Agentur 3"	(titel)
"Dragon Age: Origins"	"Dragon Age: Origins"
"(???) Dragon AgeO"	(titel)
"(???) Dragon Age Series"	(titel)
"Dragon Ball Z: Budokai Tenkaichi 2"	"Dragon Ball Z: Budokai Tenkaichi 2"
"Dragon Quest"	"Dragon Quest"
"Dragon Quest IX"	(titel)
"Dragon's Crown"	"Dragon's Crown"
"Dragon's Dogma"	"Dragon's Dogma"
"Drakengard 3"	"Drakengard 3"
"Drakensang Online"	(titel)
"Dreamfall Chapters: The Longest Journey"	(titel)
"Driftmoon"	(titel)
"Driveclub"	DriveClub
"Driver: San Francisco"	"Driver: San Francisco"
"Drunken Robot Pornography"	(titel)
"DTM Experience 2014"	(titel)
"Ducktales"	DuckTales
"DuckTales: Remastered"	"DuckTales: Remastered"
"Duke Nukem 3D"	"Duke Nukem 3D"
"Duke Nukem Forever"	"Duke Nukem Forever"
"Duke Nukem: Land of the Babes"	"Duke Nukem: Land of the Babes"
"Duke Nukem: Manhattan Project"	"Duke Nukem: Manhattan Project"
"Duke Nukem: Time to Kill"	"Duke Nukem: Time to Kill"
"Dungeon Defenders"	"Dungeon Defenders"
"Dungeon Defenders II"	(titel)
"Dungeon Hunter 3"	(titel)
"Dungeon Hunter 4"	(titel)
"Dungeon Hunter: Alliance"	"Dungeon Hunter: Alliance"
"Dungeon Keeper 2"	"Dungeon Keeper 2"
"Dungeon Keeper"	"Dungeon Keeper"
"Dungeon of Slyn"	(titel)
"Dungeon of the Endless"	(titel)
"Dungeon Raid"	(titel)
"Dungeon Siege II"	"Dungeon Siege II"
"Dungeon Siege III"	"Dungeon Siege III"
"Dungeons Neverwinter" Dragons: Neverwinter""	(titel)
"Dungeons Neverwinter Online" Dragons: Neverwinter""	(titel)
"Dungeons of Dredmor"	(titel)
"Dungeon Village"	(titel)
"(???) Duolingo"	(titel)
"Dust 514"	(titel)
"Dust: An Elysian Tail"	"Dust: An Elysian Tail"
"Dustforce"	(titel)
"Dwarf Fortress"	(titel)
"Dynasty Warriors 8"	"Dynasty Warriors 8"
"Eador: Genesis"	"Eador: Genesis"
"Eador: Masters of the Broken World"	"Eador: Masters of the Broken World"
"Earn to Die"	(titel)
"Earth Defense Force 2025"	"Earth Defense Force 2025"
"EA Sports UFC"	"EA Sports UFC"
"East India Company"	"East India Company"
"(???) EA UFC Undisputed"	(titel)
"EDGE Extended"	(titel)
"Edge of Space"	(titel)
"Edna bricht aus"	"Edna bricht aus"
"Elder Sign: Omens"	(titel)
"Electronic Super Joy"	(titel)
"Elite: Dangerous"	"Elite: Dangerous"
"Elite"	Elite
"Elsword"	(titel)
"Emergency 2014"	"Emergency 2014"
"Emergency 4"	"Emergency 4"
"Emergency 5"	(titel)
"Emoji Quiz"	(titel)
"Empire Earth"	"Empire Earth"
"(???) empire"	(titel)
"Empire: Total War"	"Empire: Total War"
"Endless Dungeon"	(titel)
"Endless Legend"	(titel)
"Endless Space"	(titel)
"Enemy Front"	"Enemy Front"
"English Country Tune"	(titel)
"Enslaved: Odyssey to the West"	"Enslaved: Odyssey to the West"
"Epic Cards Battle"	(titel)
"Escape Dead Island"	"Escape Dead Island"
"Escape Plan"	"Escape Plan"
"Eschalon"	(titel)
"Estraged"	(titel)
"(???) etliche Smartphone-Spiele"	(titel)
"Etrian Odyssey"	"Etrian Odyssey"
"Eufloria HD"	(titel)
"Europa Universalis"	"Europa Universalis"
"Europa Universalis III"	"Europa Universalis III"
"Europa Universalis IV"	"Europa Universalis IV"
"Euro Truck Simulator 2013"	(titel)
"Euro Trucksimulator 2014"	(titel)
"Euro Truck Simulator 2"	"Euro Truck Simulator 2"
"Euro Truck Simulator"	"Euro Truck Simulator"
"EVE Online"	"EVE Online"
"EverQuest II"	"EverQuest II"
"Evil Genius"	"Evil Genius"
"Evochron Mercenary"	(titel)
"(???) Evoker"	(titel)
"Evoland: A Short Story of Adventure Video Games Evolution (GOG)"	"Evoland: A Short Story of Adventure Video Games Evolution (GOG)"
"Evolve"	(titel)
"Expeditions: Conquistador"	(titel)
"E.Y.E: Divine Cybermancy"	(titel)
"F1 2011"	"F1 2011"
"F1 2013"	"F1 2013"
"F1 2014"	"F1 2014"
"F1 Challenge 99-02"	(titel)
"F1 Race Stars"	"F1 Race Stars"
"Fable 2"	(titel)
"Fable Anniversary"	(titel)
"Fable III"	"Fable III"
"Façade"	Façade
"Factorio"	(titel)
"Faery - Legends of Avalon"	(titel)
"Falcon 4.0"	"Falcon 4.0"
"Fallout 2"	"Fallout 2"
"Fallout 3"	"Fallout 3"
"Fallout"	Fallout
"Fallout: New Vegas"	"Fallout: New Vegas"
"(???) Family Guy (Android)"	(titel)
"Family Guy: Mission Sachensuche"	(titel)
"(???) Family Guy"	(titel)
"Fantasia: Mickey Mouse Magic"	(titel)
"Fantasy Life"	"Fantasy Life"
"Far Cry 2"	"Far Cry 2"
"(???) Far Cry 3/4"	(titel)
"Far Cry 3: Blood Dragon"	"Far Cry 3: Blood Dragon"
"Far Cry 3"	"Far Cry 3"
"Far  Cry 3"	(titel)
"Far Cry 4"	"Far Cry 4"
"Far  cry 4"	(titel)
"(???) Farcry alle Teile"	(titel)
"Far Cry"	"Far Cry"
