"Unbekannter Titel"	"Nennungen"	"Schreibweise"	"Release"	"Freigabe"	"Kommentar"
"Counter Strike Global Offfensive"	1	""		"."	""
"Counter Strike Global:Offensive"	2	""		"."	"Counter-Strike: Global Offensive"
"Counter Strike- GO"	1	"Counter-Strike: Global Offensive"		"."	""
"Counter Strike: Global Ofensive"	1	""		"."	"Counter-Strike: Global Offensive"
"Counterstrie Global Offensive"	1	""		"."	"Counter-Strike: Global Offensive"
"Counter-Strike - Global Offensice"	1	""		"."	"Counter-Strike: Global Offensive"
"Counterstrike : Global offensive"	1	""		"."	"Counter-Strike: Global Offensive"
"Counter-Strike: Globale Offensive"	1	""		"."	"Counter-Strike: Global Offensive"
"Crosscode"	1	"CrossCode"		"."	"CrossCode (Steam, Early Access)"
"Crossout (closed beta)"	1	"Crossout"		"."	"Crossout (Steam, Early Access)"
"Crusader's King 2"	1	"Crusader Kings II"		"."	""
"Darkest Hour"	1	"Darkest Hour: A Hearts of Iron Game"		"."	"Darkest Hour: A Hearts of Iron Game (Steam)"
"Darksiders 2 Deathinitve Edition"	1	""		"."	"Darksiders II: Deathinitive Edition"
"Darksiders Warmastered"	1	""		"."	""
"Darl Souls"	1	"Dark Souls"		"."	""
"Daxter (PSP)"	1	"Daxter"		"."	""
"DB Xenoverse 2"	1	"Dragon Ball: Xenoverse 2"		"."	""
"Dead Island Definitive Edition"	1	""		"."	"Dead Island: Definitive Edition"
"Dead Island Riptide Definitive Edition"	2	""		"."	"Dead Island: Riptide - Definitive Edition"
"Dead or Alive Last Round"	1	""		"."	"Dead or Alive 5 Last Round"
"Dead or Alive Xtreme 3"	1	""		"."	"Dead or Alive Xtreme 3: Fortune"
"Dead Rising 2: OTR"	1	"Dead Rising 2: Off the Record"		"."	""
"DEADRISING3"	1	"Dead Rising 3"		"."	""
"Deception IV"	1	""		"."	"Deception IV: Blood Ties"
"DEINE MUDDA!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!"	1	"(???) DEINE MUDDA!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!"		"."	""
"Deine Mutter"	1	"(???) Deine Mutter"		"."	""
"Demon's Crest 2"	1	"(???) Demon's Crest 2"		"."	""
"Der Herr der Ringe Schlacht um Mittelerde II Aufstieg des Hexenkönigs"	1	"Der Herr der Ringe: Die Schlacht um Mittelerde II"		"."	""
"Deus Ex - Mankind Divided"	1	""		"."	""
"Deus ex - mankind divided"	1	""		"."	""
"Deus Ex Mankind Devided"	1	"Deus Ex: Mankind Divided"		"."	""
"Deus Ex Mankind Divined (PC)"	1	"Deus Ex: Mankind Divided"		"."	"Deus Ex: Mankind Divided"
"Deus Ex Mankind"	1	"Deus Ex: Mankind Divided"		"."	""
"Deus Ex MKD"	1	"Deus Ex: Mankind Divided"		"."	""
"Deus Ex: Mankind Devided"	1	"Deus Ex: Mankind Divided"		"."	""
"Diablo III - Reaper of Souls"	1	"Diablo III"		"."	""
"Die Siedler (iOS)"	1	"Die Siedler HD"	2010	"."	""
"Die Siedler 2.5"	1	"Die Siedler II"		"."	""
"Die Simpsons"	1	"(???) Die Simpsons"		"."	""
"Digital Combat Simulator"	1	""	2008	"."	""
"Dishonered 2"	2	"Dishonored 2"		"."	"Dishonored 2"
"Dishorned 2"	1	"Dishonored 2"		"."	""
"Dishornored 2"	1	"Dishonored 2"		"."	""
"diverse LEGO"	1	"(???) diverse LEGO"		"."	""
"Diverse Solitär-Spiele"	1	"(???) Diverse Solitär-Spiele"		"."	""
"diverse Wimmelbildspiele"	1	"(???) diverse Wimmelbildspiele"		"."	""
"Divine Divinity OS"	1	"(???) Divine Divinity OS"		"."	""
"Divinity Original Sin2"	1	""		"."	""
"Divinity: Original Sin I"	1	"Divinity: Original Sin"		"."	""
"Divinity: Original Sins"	1	"Divinity: Original Sin"		"."	""
"Division"	5	""		"."	"Tom Clancy's The Division"
"Dominion Online"	1	""		"."	""
"Dont Starve togehter"	1	"Don't Starve Together"		"."	"Don't Starve Together (Steam, Early Access)"
"DOOM 2016"	1	"Doom (2016)"		"."	""
"doom 2016"	1	"Doom (2016)"		"."	""
"Doom 2016"	7	"Doom (2016)"	2016	"usk18"	""
"Doom 4"	1	"Doom (2016)"		"."	""
"Doom(2016)"	1	"Doom (2016)"		"."	""
"DOOM(2016)"	1	"Doom (2016)"		"."	""
"Doom3 VR Modifikation"	1	"Doom 3"		"."	""
"Dragon Age 1"	1	"Dragon Age: Origins"		"."	""
"Dragon Age: Origins - Ultimate Edition"	1	"Dragon Age: Origins"		"."	""
"Dragon Ages: Origins"	1	""		"."	"Dragon Age: Origins"
"Dragon Ball Xenoverse 2"	1	""		"."	"Dragon Ball: Xenoverse 2"
"Dragon Quest 7 (3DS)"	1	""		"."	"Dragon Quest VII: Fragmente der Vergangenheit"
"Dragon Quest VIII"	1	""		"."	"Dragon Quest: Die Reise des verwunschenen Königs"
"Dragonball Online"	1	""		"."	""
"Dragonball Xenoverse 2"	2	"Dragon Ball: Xenoverse 2"		"."	"Dragon Ball: Xenoverse 2"
"Dragonball Xenoverse"	1	"Dragon Ball: Xenoverse"		"."	"Dragon Ball: Xenoverse"
"Dragons Dogma Dark Arisen"	2	""		"."	"Dragon's Dogma: Dark Arisen"
"Dragons Dogma Online"	1	""		"."	"Dragon's Dogma Online"
"Dragonsoul"	2	"DragonSoul"	2015	"usk6"	""
"Dragosien"	1	"Dragosien - Land der Drachen"	2007	"."	""
"Drakensang - Am Fluss der Zeit"	1	"Drakensang: Am Fluss der Zeit"		"."	""
"Drednougt"	1	"Dreadnought"	2017	"."	""
"Driveclub VR"	1	""	2016	"usk0"	""
"Duelyst"	1	"Duelyst"	2016	"."	""
"Duke Nukem 3d Megaton"	1	""		"."	"Duke Nukem 3D"
"Dungeons of the Endless"	1	"Dungeon of the Endless"		"."	"Dungeon of the Endless  (Steam)"
"DYINGLIGHT"	1	"Dying Light"		"."	""
"Dynasty Warrios 8"	1	"Dynasty Warriors 8"		"."	""
"Edain Mod (SuM)"	1	"Der Herr der Ringe: Die Schlacht um Mittelerde"		"."	""
"EDF 4.1 The Shadow of the New Despire"	1	""		"."	"Earth Defense Force 4.1: The Shadow of New Despair"
"Edna & Harvey: Harvey's Neue Augen"	1	"Harveys Neue Augen"		"."	""
"Elder Scrolls 4 Oblivion"	1	"The Elder Scrolls IV: Oblivion"		"."	""
"Elder Scrolls Legends"	1	""		"."	"The Elder Scrolls: Legends"
"Elder Scrolls Oblivion"	1	"The Elder Scrolls IV: Oblivion"		"."	""
"Elder Scrolls Online: Tamriel Unlimited"	1	"The Elder Scrolls Online"		"."	""
"Elder Scrolls V: - Skyrim Special Edition"	1	"The Elder Scrolls V: Skyrim"		"."	""
"Elder Scrolls V: SE"	1	"The Elder Scrolls V: Skyrim"		"."	""
"Elena"	1	""	2016	"."	""
"Elisa: The Innkeeper - Prequel"	1	""	2016	"."	""
"Emergency 2017"	1	""		"."	"Emergency 2017: Einsatz gegen den Terror"
"Empires Total War"	1	"Empire: Total War"		"."	""
"Empyrion - Galactic Surrvial"	1	"Empyrion - Galactic Survival"		"."	""
"Enderal"	4	"The Elder Scrolls V: Skyrim"		"."	""
"Endless Sky"	1	""	2016	"."	""
"Endless Space 2"	5	""	2016	"."	""
"Enter The Gungeon"	1	""	2016	"."	""
"Eternal"	1	"Eternal Card Game"	2016	"."	""
"EU 4"	1	"Europa Universalis IV"		"."	""
"Europe Universalis 4"	1	"Europa Universalis IV"		"."	""
"EVE Valkyrie"	1	"Eve: Valkyrie"	2016	"."	""
"Eve: Online"	1	"EVE Online"		"."	""
"Everspace"	3	""		"."	"Everspace (GOG, Early Access)"
"Everybody is gone to the Rapture"	1	"Everybody’s Gone to the Rapture"		"."	"Everybody's Gone to the Rapture"
"F1 2016"	5	"F1 2016"		"."	"F1 2016 (Limited Edition)"
"Factorio (STEAM)"	1	"Factorio"		"."	""
"Fahrenheit Remastered (Windows)"	1	"Fahrenheit: Indigo Prophecy Remastered"		"."	"Fahrenheit: Indigo Prophecy Remastered (Steam)"
"Falout 4"	1	"Fallout 4"		"."	""
"Famerama"	1	"Farmerama"	2009	"."	""
"Farming Simulator 17"	1	"Landwirtschafts-Simulator 17"		"."	"Landwirtschafts-Simulator 17 (Collector's Edition)"
"Farming Simulator 2017"	1	"Landwirtschafts-Simulator 17"		"."	""
"Farmingsimulator 2017"	1	"Landwirtschafts-Simulator 17"		"."	""
"Fasther than Light"	1	"FTL: Faster Than Light"		"."	""
"FC Primal"	1	""		"."	"Far Cry Primal"
"fear 1"	1	"F.E.A.R.: First Encounter Assault Recon"		"."	""
"Fidel - Dungeon Rescue"	1	""		"."	""
"Fifa 2017"	1	""		"."	"FIFA 17"
"Final Fantasy Brave Exvius"	1	"Final Fantasy: Brave Exvius"	2015	"."	""
"Fire Emblem Conquest"	1	""		"."	"Fire Emblem Fates: Conquest"
"Fire Emblem Fates"	1	"(???) Fire Emblem Fates"		"."	""
"Football Manager 16"	1	"Football Manager 2016"		"."	"Football Manager 2016 (Steam)"
"Football Manager 17"	2	"Football Manager 2017"		"."	"Football Manager 2017 (Limited Edition)"
"Football Manager 2017"	1	""		"."	"Football Manager 2017 (Limited Edition)"
"Forza Horzon 3"	1	""		"."	"Forza Horizon 3"
"Freecell:)"	1	""		"."	""
"Friday 13th"	1	""		"."	"Friday the 13th"
"Gem Craft-Chasing Shadows"	1	"GemCraft - Chasing Shadows"		"."	""
"Goblins and Grottos"	1	"Goblins and Grottos"	2016	"."	""
"God of War Collection 1"	1	"(???) God of War Collection 1"		"."	""
"Gothic 2 DNdR L-Hiver Edition"	1	"Gothic II"		"."	""
"Gothic 2 DNdR Rückkehr Rebalance"	1	"Gothic II"		"."	""
"Gothic 2: Die Nacht des Raben (Mehrspieler-Mod)"	1	"Gothic II"		"."	""
"Gothic II dNdR"	1	"Gothic II"		"."	""
"Gothic Multiplayer"	5	"Gothic II"		"."	""
"Gothic Multyplayer"	1	"Gothic II"		"."	""
"Gothic: Total War"	1	"Medieval II: Total War"		"."	""
"Gouvernor of Poker 3"	1	"Governor of Poker 3"		"."	""
"Grand Theft Auto Episodes from Liberty city"	1	"Grand Theft Auto IV"		"."	""
"Grand Theft Auto: Episodes from Liberty City"	1	"Grand Theft Auto IV"		"."	""
"Grand Theft V"	1	"Grand Theft Auto V"		"."	"Grand Theft Auto V"
"Gravity Falls - Die Legende der Zergenjuwelette"	1	"Gravity Falls - Die Legende der Zwergenjuwulette"	2015	"usk6"	""
"Greg Grigsbys War in the East"	1	""		"."	"Gary Grigsby's War in the East"
"GreyGoo"	1	"Grey Goo"		"."	"Grey Goo (Steam)"
"Grim Dwan"	1	"Grim Dawn"		"."	"Grim Dawn (GOG)"
"GTA 3 San Andreas"	1	"Grand Theft Auto: San Andreas"		"."	""
"GTA V / GTA V Online"	1	"Grand Theft Auto V"		"."	"Grand Theft Auto V"
"GTA V: online"	1	"Grand Theft Auto V"		"."	"Grand Theft Auto V"
"GTA: 5"	1	"Grand Theft Auto V"		"."	"Grand Theft Auto V"
"GTA: San Andreas"	1	"Grand Theft Auto: San Andreas"		"."	""
"Guild Wars 2 (Heart of Thornes)"	1	"Guild Wars 2"		"."	""
"Gwent Beta"	1	"Gwent: The Witcher Card Game"		"."	""
"Gwent Online"	1	"Gwent: The Witcher Card Game"	2017	"."	""
"Gwent"	1	"Gwent: The Witcher Card Game"		"."	""
"H1Z1 King of the Kill"	1	"H1Z1: King of the Kill"		"."	"H1Z1 (Steam, Early Access)"
"H1Z1: King of the Kill"	1	"H1Z1: King of the Kill"		"."	""
"H3VR (Hotdog Horseshoes and Handgrenades)"	1	"Hot Dogs, Horseshoes & Hand Grenades"	2016	"."	""
"Halflife Prospekt"	1	"Half Life 2: Prospekt"		"."	"Half-Life 2"
"Halleluja"	1	"(???) Halleluja"		"."	""
"Haterd"	1	"Hatred"		"."	"Hatred"
"HayDay"	1	"Hay Day"	2012	"usk0"	""
"Hearthdtomeq"	1	"(???) Hearthdtomeq"		"."	""
"hearthston"	1	"Hearthstone: Heroes of Warcraft"		"."	""
"Hearts of Iron 4"	7	"Hearts of Iron IV"		"."	"Hearts of Iron IV"
"Heaven Island - VR MMO"	1	""	2015	"."	""
"Hero's Song"	1	""	2016	"."	""
"Hexa Blocks"	1	"Block! Hexa Puzzle"		"."	""
"Highlands"	1	""	2015	"."	""
"HITMAN (2016)"	1	"Hitman (2016)"		"."	""
"Hitman (2016)"	2	"Hitman (2016)"	2016	"usk18"	""
"HoI 4"	1	"Hearts of Iron IV"		"."	""
"Homefront Revolution"	1	"Homefront: The Revolution"		"."	"Homefront: The Revolution"
"Homeworld Deserts of Kharak"	1	"Homeworld: Deserts of Kharak"		"."	"Homeworld: Deserts of Kharak (Steam)"
"Hover Junkers"	1	""	2016	"."	""
"Hungry Cat Picross"	1	""		"usk0"	""
"Hunie Pop (PC Gog)"	1	"HuniePop"		"."	"HuniePop"
"Hyrule Warriors (Wii U)"	1	"Hyrule Warriors"		"."	"Hyrule Warriors"
"Hyrule Warriors Legends (3DS)"	1	"Hyrule Warriors: Legends"		"."	"Hyrule Warriors: Legends"
"I wanna be the guy"	1	""		"."	""
"IL2"	1	""		"."	""
"InCell VR"	1	""		"."	""
"Infectonator: Survivors"	1	"Infectonator : Survivors"	2016	"."	""
"Infinite Air"	1	""		"."	""
"Inside (STEAM)"	1	""		"."	""
"Inside the Facility"	1	""		"."	""
