"Table: [Spiel 1] Welche Spiele hast du in den letzten 21 Tagen genutzt? (Gib bei Addons/Mods bitte das Hauptspiel an.)"	"n"	"sum"
"Game of Thrones"	2	322
"Hearthstone: Heroes of Warcraft"	2	324
"Lords of Xulima"	2	326
"Pro Evolution Soccer 2015"	2	328
"Sleeping Dogs"	2	330
"Tomb Raider"	2	332
"War Thunder"	2	334
"Assetto Corsa"	2	336
"Borderlands: The Pre-Sequel"	2	338
"Company of Heroes 2"	2	340
"FIFA 14"	2	342
"Pflanzen gegen Zombies"	2	344
"Dead Rising 3"	2	346
"Grand Theft Auto IV"	2	348
"(???) Evoker"	1	349
"(???) Professor Layton und die Maske des Sch"	1	350
"Assassin's Creed Unity"	1	351
"Bike Rivals"	1	352
"Dark Souls"	1	353
"Defiance"	1	354
"Depth"	1	355
"Der Herr der Ringe Online"	1	356
"Don't Starve"	1	357
"Dungeon Village"	1	358
"Fallout 3"	1	359
"GRID 2"	1	360
"Gran Turismo 5"	1	361
"Halo: Spartan Assault"	1	362
"LittleBigPlanet"	1	363
"Metro 2033 Redux"	1	364
"Need for Speed: Most Wanted (Origin)"	1	365
"Need for Speed: Shift"	1	366
"Red Orchestra: Ostfront 41-45"	1	367
"Sherlock Holmes and the Hound of Baskerville"	1	368
"Sid Meier's Civilization IV"	1	369
"Star Wars: Force Collection"	1	370
"Super Mario World"	1	371
"Thief"	1	372
"Tom Clancy's Ghost Recon"	1	373
"TrackMania 2"	1	374
"Uncharted 3"	1	375
"Valkyria Chronicles"	1	376
"Virtua Tennis 4"	1	377
"iRacing.com"	1	378
"(???) SimCity"	1	379
"4 Bilder ein Wort"	1	380
"Academagia: The Making of Mages"	1	381
"Anno 2070"	1	382
"Assassin's Creed"	1	383
"Call of Duty: Ghosts"	1	384
"Call of Duty: Modern Warfare 3"	1	385
"Child of Light"	1	386
"Darksiders 2"	1	387
"Dead Island: Riptide"	1	388
"Driveclub"	1	389
"Endless Legend"	1	390
"Euro Truck Simulator 2"	1	391
"Ghost Recon: Future Soldier"	1	392
"Grid Autosport"	1	393
"Heroes of the Storm"	1	394
"Kerbal Space Program"	1	395
"Killzone: Shadow Fall"	1	396
"Left 4 Dead"	1	397
"Marvel Puzzle Quest: Dark Reign"	1	398
"Men of War: Assault Squad 2"	1	399
"Natural Doctrine"	1	400
"Orcs Must Die! 2"	1	401
"Pokémon: Alpha Saphir"	1	402
"Quake III Arena"	1	403
"Red Faction: Guerrilla"	1	404
"Rift"	1	405
"Rise of Venice"	1	406
"Rome: Total War"	1	407
"S.O.L : Stone of Life EX"	1	408
"Space Run"	1	409
"Star Citizen"	1	410
"Star Trek Online"	1	411
"Star Wars: Commander"	1	412
"Styx: Master of Shadows"	1	413
"TITAN ATTACKS"	1	414
"Tales of Phantasia"	1	415
"The Simpsons: Springfield"	1	416
"Tron 2.0"	1	417
"Tropico"	1	418
"Warframe"	1	419
"(???) Batman"	1	420
"(???) LS Simulator 2013"	1	421
"(???) The Legend of Zelda"	1	422
"(???) oculus rift demos"	1	423
"Age of Empires II: The Age of Kings"	1	424
"Assassin's Creed IV: Black Flag"	1	425
"Bang Bang Racing"	1	426
"Batman: Arkham Origins"	1	427
"Bulletstorm"	1	428
"Daylight"	1	429
"Deponia"	1	430
"Dungeon of the Endless"	1	431
"Enslaved: Odyssey to the West"	1	432
"Far Cry 3: Blood Dragon"	1	433
"Fez"	1	434
"Frozen: Olaf's Quest"	1	435
"Gabriel Knight: Sins of the Fathers"	1	436
"Grim Dawn"	1	437
"Halo - The Master Chief Collection"	1	438
"Kingdom Rush"	1	439
"Mass Effect"	1	440
"Master of Orion II: Battle at Antares"	1	441
"Medal of Honor: Warfighter"	1	442
"Mirror's Edge"	1	443
"Napoleon: Total War"	1	444
"Never Alone"	1	445
"Port Royale 3"	1	446
"Pure Pool"	1	447
"RaceRoom Racing Experience"	1	448
"Roads of Rome 3"	1	449
"Ryse: Son of Rome"	1	450
"South Park: Der Stab der Wahrheit"	1	451
"StarCraft II: Wings of Liberty"	1	452
"State of Decay"	1	453
"Sunset Overdrive"	1	454
"The Vanishing of Ethan Carter"	1	455
"Ultimate NES Remix"	1	456
"Valiant Hearts: The Great War"	1	457
"Verdun"	1	458
"WWE 2k15"	1	459
"X: Beyond The Frontier"	1	460
"XCOM: Enemy Unknown"	1	461
"XCOM: Enemy Within"	1	462
"(???) Divinity"	1	463
"(???) Simsons"	1	464
2048	1	465
"Alan Wake"	1	466
"Angry Birds Transformers"	1	467
"Blood Bowl"	1	468
"Castle Crush"	1	469
"Crysis 2"	1	470
"Crysis 3"	1	471
"Dark Raid"	1	472
"Dead Island: Epidemic"	1	473
"Divinity 2: Ego Draconis"	1	474
"Emergency 2014"	1	475
"Endless Space"	1	476
"Final Fantasy XIV: A Realm Reborn"	1	477
"Frozen Synapse"	1	478
"God of War"	1	479
"Gothic 3"	1	480
"Gray Matter"	1	481
"Heroes of Might and Magic V"	1	482
"Hitman: Absolution"	1	483
"Injustice: Gods Among Us"	1	484
"Killing Floor"	1	485
"Knack"	1	486
"Legend of Grimrock 2"	1	487
"Max Payne 3"	1	488
"Muramasa Rebirth"	1	489
"New Super Mario Bros. Wii"	1	490
"Path of Exile"	1	491
"Pflanzen gegen Zombies: Garden Warfare"	1	492
"Rayman Legends"	1	493
"Risen 2: Dark Waters"	1	494
"Sherlock Holmes and the Hound of Basker"	1	495
"Splice"	1	496
"Star Wars: Knights of the Old Republic"	1	497
"Trackmania Nations"	1	498
"Tropico 4"	1	499
"Tropico 5"	1	500
"Arcana Heart 3: LOVE MAX!!!!!"	1	501
"Bayonetta 2"	1	502
"Castlevania: Lords of Shadow"	1	503
"Dirt 2"	1	504
"Dogfight 1942"	1	505
"Dungeon Keeper"	1	506
"Earth Defense Force 2025"	1	507
"Euro Trucksimulator 2014"	1	508
"Europa Universalis III"	1	509
"Halo 4"	1	510
"Ice Age: Die Siedlung"	1	511
"Icewind Dale: Enhanced Edition"	1	512
"LEGO: Der Hobbit"	1	513
"Landwirtschafts-Simulator 2015"	1	514
"Mario Kart 8"	1	515
"Mark of the Ninja"	1	516
"Mass Effect 3"	1	517
"Monument Valley"	1	518
"Next Car Game: Wreckfest"	1	519
"Painkiller"	1	520
"Resident Evil: Darkside Chronicles"	1	521
"Serious Sam 3: BFE"	1	522
"Sniper Elite: Nazi Zombie Army 2"	1	523
"Space Hulk: Ascension Edition"	1	524
"The Legend of Zelda: A Link to the Past"	1	525
"The Wolf Among Us"	1	526
"UFO: Enemy Unknown"	1	527
"Unmechanical"	1	528
"World War II Online"	1	529
"Worms 2: Armageddon"	1	530
