"Wert"	"n"	"sum"
"Plague Inc: Evolved"	2	2353
"Pflanzen gegen Zombies"	2	2336
"Payday: The Heist"	2	2331
"PayDay"	2	2284
"Outlast (GOG)"	2	2272
"Never Alone"	2	2250
"Need for Speed: Most Wanted"	2	2242
"Need for Speed: Hot Pursuit"	2	2240
"Napoleon: Total War"	2	2234
"NHL 15"	2	2232
"Monument Valley"	2	2208
"Metro 2033"	2	2112
"Metal Gear Solid"	2	2106
"Metal Gear Solid 2: Sons of Liberty"	2	2108
"Men of War: Assault Squad 2"	2	2103
"Medieval II: Total War"	2	2099
"Max Payne"	2	2092
"Max Payne 2: The Fall of Max Payne"	2	2094
"Mark of the Ninja"	2	2072
"Magicka"	2	2064
"Left 4 Dead"	2	2035
"Kingdoms of Amalur: Reckoning"	2	1923
"Killer is Dead"	2	1907
"Infestation"	2	1878
"Happy Wheels"	2	1835
"Halo: Spartan Assault"	2	1833
"Grand Theft Auto: Vice City"	2	1781
"Grand Theft Auto"	2	1671
"Geometry Dash"	2	1653
"GODUS"	2	1610
"Fussball Manager 13"	2	1608
"Forza Motorsport 4"	2	1600
"Final Fantasy"	2	1573
"Far Cry 2"	2	1453
"Fantasy Life"	2	1448
"FIFA 12"	2	1340
"F1 2013"	2	1334
"Europa Universalis"	2	1312
"Empire Earth"	2	1284
"Dungeon Keeper 2"	2	1266
"Dragon's Dogma"	2	1253
"Dragon Age II"	2	1175
"Die Sims 3"	2	1106
"Die Sims 2"	2	1104
"Dead Space"	2	1037
"Dead Rising 3"	2	1035
"Dead Island: Epidemic"	2	1032
"Curve Fever"	2	988
"Crysis"	2	981
"Command & Conquer: Generals"	2	772
"Castle Crashers"	2	745
"Call of Duty: Modern Warfare 3"	2	740
"Call of Duty 4: Modern Warfare"	2	646
"Burnout Paradise"	2	630
"Broken Age"	2	623
"Blur"	2	576
"Beyond Good & Evil"	2	552
"Battlefield 2"	2	383
"Batman: Arkham Asylum"	2	372
"Asphalt 8: Airborne"	2	190
"Antichamber"	2	129
"Age of Mythology (Extended Edition)"	2	87
"(???) SimCity"	2	53
"(???) Mario Kart"	2	46
2048	1	1
10000000	1	2
"the walking dead telltall"	1	3227
"the crew"	1	3226
"skate 3"	1	3225
"rFactor"	1	3224
"der herr der ringe schlacht um mittelerde"	1	3219
"Yakuza 4"	1	3218
"X3: Terran Conflict"	1	3210
"Worms: Ultimate Mayhem"	1	3209
"Worms"	1	3203
"World in Conflict"	1	3150
"World In Conflict"	1	3149
"Wings of Vi"	1	3138
"Wimmelbildspiele (Big Fish)"	1	3137
"WildStar"	1	3136
"Warzone 2100"	1	3118
"Warhammer 40,000: Dawn of War"	1	3114
"Wargame: Red Dragon"	1	3113
"War of the Roses"	1	3100
"WWE Smackdown vs. Raw 2008"	1	3090
"WWE 2k13"	1	3083
"WRC 4 FIA World Rally Championship"	1	3082
"WAKFU"	1	3081
"Volo Airsport"	1	3080
"Vindictus"	1	3079
"Und mehr"	1	3062
"Uncharted 3"	1	3061
"Two Worlds II"	1	3060
"Turok 2: Seeds of Evil"	1	3059
