"Titel"	"Kommentar"
"Octodad"	""
"Ogame"	""
"Okami"	""
"OMSI 2"	""
"Osu!"	""
"Otomaid @ Cafe"	""
"Overruled!"	""
"Pandora - First Contact"	""
"Panzer Corps: Wehrmacht"	""
"Pathfinder Online"	""
"PayDay"	""
"Pflanzen gegen Zombies 2"	""
"Pflanzen gegen Zombies: Garden Warfare"	""
"Piano Tiles (Don't Tap The White Tile)"	""
"Picmi"	""
"Picross E4"	""
"Pixel Dungeon"	""
"Plague Inc. Evolved"	""
"Plants vs. Zombie"	""
"Play Epic Battle Fantasy 4"	""
"Playstation Home"	""
"Pokémon Omega Rubin"	""
"Pokémon Showdown"	""
"Pokémon Trading Card Game Online"	""
"Pokémon: Alpha Saphir"	""
"Powerstar Golf"	""
"Primal Carnage: Extinction"	""
"Prison Rape Simulator 2014"	""
"Project CARS"	""
"Quizduell"	""
"Race Driver: GRID"	""
"RaceRoom Racing Experience"	""
"Rage of Bahamut"	""
"Ragnarok Online 2"	""
"Rail Nation"	""
"Rebuild 2"	""
"Recruits - Make Heroes. Make History"	""
"Reflec Beat plus!"	""
"Remeber Me"	""
"Renegade-x"	""
"ReRave"	""
"Resident Evil: Darkside Chronicles"	""
"Rise of Flight"	""
"Robocraft"	""
"RockBand"	""
"Rockband 3"	""
"Rune Factory Frontier"	""
"Runescape"	""
"Running with Rifles"	""
"Rust"	""
"S.K.I.L.L.-Special Force 2"	""
"S.N.O.W."	""
"S.O.L : Stone of Life EX"	""
"S4 League"	""
"salt"	""
"Sauspiel Schafkopf"	""
"Scarlet Blade"	""
"School of Dragons"	""
"Scrabble (Smartphone)"	""
"Screencheat"	""
"Scrolls"	""
"Senran Kagura Shinovi Versus"	""
"Serious Sam 2 HD"	""
"Shadow Kings"	""
"Shadow Warrior (2013)"	""
"Shakes & Fidget"	""
"Shakes and Fidget"	""
"Sherlock Holmes and the Hound of Baskervilles"	""
"Sherlock Holmes: Crimes and Punishments"	""
"ShootMania"	""
"Sideswiped"	""
"Sightline: The Chair"	""
"Silent Hill (1999)"	""
"Silent Hunter 3"	""
"Silent Hunter 4"	""
"Sim City (2013)"	""
"Simcity 2000 (1994)"	""
"SimCity 4"	""
"Sins of the Dark Age"	""
