"Table: [Spiel 2] Welche Spiele hast du in den letzten 21 Tagen genutzt? (Gib bei Addons/Mods bitte das Hauptspiel an.)"	"n"	"sum"
"(???) Civilization"	2	2109
"Age of Wonders III"	2	2111
"Banner Saga"	2	2113
"Batman: Arkham City"	2	2115
"Beyond: Two Souls"	2	2117
"Castle Crashers"	2	2119
"Counter-Strike: Source"	2	2121
"Darksiders"	2	2123
"Dead Island: Epidemic"	2	2125
"Dead Space"	2	2127
"Dead State"	2	2129
"Defense Grid 2"	2	2131
"Defiance"	2	2133
"Der Herr der Ringe Online"	2	2135
"Deus Ex"	2	2137
"Dungeons of Dredmor"	2	2139
"Endless Legend"	2	2141
"Game Dev Tycoon"	2	2143
"Garry's Mod"	2	2145
"Geheimakte Tunguska"	2	2147
"Halo: Spartan Assault"	2	2149
"LEGO Batman 2"	2	2151
"Payday: The Heist"	2	2153
"Pflanzen gegen Zombies 2"	2	2155
"Plague Inc."	2	2157
"Rayman Legends"	2	2159
"Rise of the Triad"	2	2161
"Risk of Rain"	2	2163
"Shadow Warrior"	2	2165
"State of Decay"	2	2167
"Super Mario 3D Land"	2	2169
"Trials: Fusion"	2	2171
"Tropico 5"	2	2173
"(???) Rayman"	2	2175
"Age of Empires II HD"	2	2177
"Assassin's Creed: Revelations"	2	2179
"Bastion"	2	2181
"Bloons Tower Defense 5"	2	2183
"Dust: An Elysian Tail"	2	2185
"Endless Space"	2	2187
"Hammerwatch"	2	2189
"Kingdom Hearts 1.5 HD Remix"	2	2191
"Kingdom hearts 2.5 HD Remix"	2	2193
"Mashed"	2	2195
"Master of Orion II: Battle at Antares"	2	2197
"Metal Gear Rising: Revengeance"	2	2199
"Metro: Last Light"	2	2201
"Mirror's Edge"	2	2203
"Never Alone"	2	2205
"Pokémon: Silberne Edition SoulSilver"	2	2207
"Risen"	2	2209
"Ryse: Son of Rome"	2	2211
"Serious Sam 3: BFE"	2	2213
"Shin Megami Tensei: Persona 4"	2	2215
"Shovel Knight"	2	2217
"Sleeping Dogs"	2	2219
"Sniper Elite 3"	2	2221
"Spintires"	2	2223
"Supreme Commander: Forged Alliance"	2	2225
"Terra Battle"	2	2227
"The Forest"	2	2229
"TransOcean: The Shipping Company"	2	2231
"Broforce"	2	2233
"Brütal Legend"	2	2235
"Das Schwarze Auge: Drakensang"	2	2237
"Day of Defeat: Source"	2	2239
"Final Fantasy VII"	2	2241
"Hearts of Iron III"	2	2243
"NBA 2K14"	2	2245
"Next Car Game: Wreckfest"	2	2247
"Portal"	2	2249
"Rage"	2	2251
"Trine 2"	2	2253
"Age of Empires: Castle Siege"	2	2255
"Spider Solitaire"	2	2257
"(???) Jurassic Park"	1	2258
"(???) Mass Effect Trilogy"	1	2259
"Action Henk"	1	2260
"Age of Mythology"	1	2261
"Aliens: Colonial Marines"	1	2262
"Arena : Cyber Evolution"	1	2263
"Baphomets Fluch (1996)"	1	2264
"Battlefield 1942"	1	2265
"Battlefield: Bad Company 2"	1	2266
"Civ. Beyond Earth"	1	2267
"Costume Quest"	1	2268
"DCS: A-10C Warthog - Digital Combat Simulato"	1	2269
"Der Herr der Ringe: Der Krieg im Norden"	1	2270
"Diablo II"	1	2271
"Die Siedler Online"	1	2272
"Dogfight 1942"	1	2273
"Dragon Age. Inquisition"	1	2274
"Driftmoon"	1	2275
"Dwarf Fortress"	1	2276
"Emergency 5"	1	2277
"Eschalon"	1	2278
"EverQuest II"	1	2279
"Galaxy on Fire"	1	2280
"Gang Beasts"	1	2281
"Gauntlet"	1	2282
"Grand Theft Auto"	1	2283
"Homefront"	1	2284
"Machinarium"	1	2285
"Magic 2014: Duels of the Planeswalkers"	1	2286
"Magic 2015 - Duels of the Planeswalkers"	1	2287
"Might & Magic: Heroes 6"	1	2288
"NHL 14"	1	2289
"PayDay"	1	2290
"Pokémon: Schwarze Edition"	1	2291
"Pokémon: Silberne Edition"	1	2292
"Resident Evil 4"	1	2293
"Rift"	1	2294
"Rust"	1	2295
"Samurai Warriors 4"	1	2296
"Sniper Elite V2"	1	2297
"Strider"	1	2298
"Suikoden"	1	2299
"Tales of Innocence R"	1	2300
"The Elder Scrolls III: Morrowind"	1	2301
"The Elder Scrolls IV: Oblivion"	1	2302
"The Saboteur"	1	2303
"The Talos Principle"	1	2304
"The Witcher 2"	1	2305
"Train Simulator 2015"	1	2306
"Tropico 4"	1	2307
"X3: Terran Conflict"	1	2308
"XStoryPlayer 3.0"	1	2309
"Xenonauts"	1	2310
"(???) Battlefield: Modern Warfacre"	1	2311
"(???) Die Sims 2 / 3"	1	2312
"(???) Fußball Manager"	1	2313
"(???) Halo 1-4"	1	2314
"(???) Mario Kart"	1	2315
"(???) Portal 1/2"	1	2316
"(???) Simpsons"	1	2317
"(???) The GReat Giana Sisters Twisted Dreams"	1	2318
"A New Beginning"	1	2319
"Alien Isolation"	1	2320
"Angry Birds"	1	2321
"ArcheBlade"	1	2322
"Bad Piggies"	1	2323
"Batman: Arkham Asylum"	1	2324
"BattleBlock Theater"	1	2325
"Bernd Das Brot Und Die Unmöglichen"	1	2326
"Beyond Good & Evil"	1	2327
"Blackshot"	1	2328
"Braid"	1	2329
"Bulletstorm"	1	2330
"Call of Duty 4: Modern Warfare"	1	2331
"Call of Duty: Black Ops"	1	2332
"Carcassonne"	1	2333
"Castlevania: Lords of Shadow"	1	2334
"Champions Online"	1	2335
"Chess (Jeroen Carolus)"	1	2336
"Clicker heroes"	1	2337
"Crysis 2"	1	2338
"Dark Souls"	1	2339
"Dead Island: Riptide"	1	2340
"Deadpool"	1	2341
"Die Sims 3"	1	2342
"Disney Infinity: 2.0 Edition"	1	2343
"Divine Divinity"	1	2344
"Divinity 2: Ego Draconis"	1	2345
"Dungeon Keeper"	1	2346
"Elite"	1	2347
"Escape Dead Island"	1	2348
"Final Fantasy VI"	1	2349
"Final Fantasy VIII"	1	2350
"Firefall"	1	2351
"Fortix 2"	1	2352
"Giana Sisters: Twisted Dreams (Limited Edition)"	1	2353
"Goodbye Deponia"	1	2354
"Gran Turismo 5"	1	2355
"Gran Turismo 6"	1	2356
"Guns of Icarus Online"	1	2357
"Heroes of Dragon Age"	1	2358
"Heroes of Might and Magic III: The Restoration of Erathia"	1	2359
"Kentucky Route Zero"	1	2360
"Lara Croft und der Tempel des Osiris"	1	2361
"Life is Feudal"	1	2362
"Lost Planet 3"	1	2363
"Madden NFL 09"	1	2364
"Madden NFL 15"	1	2365
"Marvel Puzzle Quest: Dark Reign"	1	2366
"Medal of Honor: Allied Assault"	1	2367
"Men of War: Assault Squad"	1	2368
"Mercenary Kings"	1	2369
"Mines of Mars"	1	2370
"NHL 15"	1	2371
"One Finger Death Punch"	1	2372
"Plague Inc: Evolved"	1	2373
"Planetary Annihilation"	1	2374
"Pokémon X"	1	2375
"Professor Layton und das Vermächtnis von Aslant"	1	2376
"Project CARS"	1	2377
"Quake III Arena"	1	2378
"Race Driver: GRID"	1	2379
"Raiden III"	1	2380
"Red Faction: Guerrilla"	1	2381
"Red Orchestra: Ostfront 41-45"	1	2382
"Scrabble (Smartphone)"	1	2383
"Sentinel 3: Homeworld"	1	2384
"Shadowrun Returns"	1	2385
"Sherlock Holmes and the Hound of Baskervilles"	1	2386
"Silent Hunter 4"	1	2387
"Slenderman"	1	2388
"Space Hulk: Ascension Edition"	1	2389
"Star Wars: Knights of the Old Republic"	1	2390
"Star Wars: Tiny Death Star"	1	2391
"Steins;Gate"	1	2392
"Super Mario Bros. 2"	1	2393
"The Binding of Isaac. Rebirth"	1	2394
"The Blackwell Epiphany"	1	2395
"The Book of Unwritten Tales"	1	2396
"The Incredible Adventures of Van Helsing"	1	2397
"The Legend of Zelda: Spirit Tracks"	1	2398
"The Secret World"	1	2399
"The Secret of Monkey Island - Special Edition"	1	2400
"Tiny and Big: Grandpa's Leftovers"	1	2401
"Titan Quest"	1	2402
"Tom Clancy's Ghost Recon Advanced Warfighter"	1	2403
"Torchlight II"	1	2404
"Tribes: Ascend"	1	2405
"Uniwar"	1	2406
"Unreal"	1	2407
"WWE 2k15"	1	2408
"Warlords: Battlecry III"	1	2409
"X: Superbox"	1	2410
"XCOM: Enemy Within"	1	2411
"Zengrams"	1	2412
"salt"	1	2413
"the evil within"	1	2414
"(???) Anno"	1	2415
"(???) Colin Mcrae rally"	1	2416
"(???) Dragon Age 1+3"	1	2417
"(???) Fifa"	1	2418
"(???) Flash spiele auf kongregate.com und armo"	1	2419
"(???) Mass Effect Reihe"	1	2420
"(???) Max"	1	2421
"(???) Omnibus 2"	1	2422
"(???) Skylanders"	1	2423
"(???) The tribes & castles"	1	2424
"(???) Wice star"	1	2425
"Always Sometimes Monsters"	1	2426
"Anarchy Online"	1	2427
"Art of Balance"	1	2428
"Beat Hazard"	1	2429
"Bladestorm: Der Hundertjährige Krieg"	1	2430
"Call of Juarez"	1	2431
"Candy Crush Saga"	1	2432
"Ceville"	1	2433
"Command & Conquer: Alarmstufe Rot 3"	1	2434
"Craft The World"	1	2435
"Crysis"	1	2436
"Daedelus"	1	2437
"Day of Defeat"	1	2438
"Defense Grid: The Awakening"	1	2439
"Defy Gravity"	1	2440
"Delta Force: Black Hawk Down"	1	2441
"Devil May Cry"	1	2442
"Die Siedler III"	1	2443
"Distant Worlds"	1	2444
"Dofus"	1	2445
"Drakengard 3"	1	2446
"Ducktales"	1	2447
"Duke Nukem: Time to Kill"	1	2448
"Eador: Genesis"	1	2449
"Eador: Masters of the Broken World"	1	2450
"Elder Sign: Omens"	1	2451
"Emoji Quiz"	1	2452
"FIFA World"	1	2453
"Flight of the Amazon Queen"	1	2454
"Football Manager 2014"	1	2455
"Freedom Wars"	1	2456
"Frozen Synapse"	1	2457
"Fussball Manager 13"	1	2458
"Fußball Manager 13"	1	2459
"GODUS"	1	2460
"Geheimakte 2: Puritas Cordis"	1	2461
"Grand Theft Auto: San Andreas"	1	2462
"Hazard Ops"	1	2463
"Hexcells Plus"	1	2464
"Hill Climb Racing"	1	2465
"Jagged Alliance: Back in Action"	1	2466
"King of Dragon Pass"	1	2467
"Kingdoms of Amalur: Reckoning"	1	2468
"Knack"	1	2469
"Letter Quest: Grimm's Journey"	1	2470
"Luigi's Mansion"	1	2471
"Mad Games Tycoon"	1	2472
"Medieval II: Total War"	1	2473
"Mountain"	1	2474
"NEO Scavenger"	1	2475
"Nation Red"	1	2476
"Need for Speed: The Crew"	1	2477
"Neverwinter Nights"	1	2478
"New Super Luigi U"	1	2479
"Ogame"	1	2480
"Otomaid @ Cafe"	1	2481
"Pathfinder Online"	1	2482
"Pixel Dungeon"	1	2483
"Psychonauts"	1	2484
"RESOGUN"	1	2485
"Ravaged Zombie Apocalypse"	1	2486
"Rayman Origins"	1	2487
"ReRave"	1	2488
"Red Faction"	1	2489
"Resident Evil 6"	1	2490
"Resident Evil: Darkside Chronicles"	1	2491
"Risen 2: Dark Waters"	1	2492
"Rules!"	1	2493
"SWAT 3"	1	2494
"Shroud of the Avatar: Forsaken Virtues"	1	2495
"Sid Meier's Civilization IV: Colonization"	1	2496
"Silent Hunter 3"	1	2497
"Sonic Adventure DX"	1	2498
"Spirits"	1	2499
"Split Second: Velocity"	1	2500
"Spore"	1	2501
"Star Pirates"	1	2502
"Star Wars: Empire at War"	1	2503
"Star Wars: TIE Fighter"	1	2504
"Starpoint Gemini 2"	1	2505
"Stonehearth"	1	2506
"Street Fighter Alpha 3"	1	2507
"Stronghold"	1	2508
"Sunrider"	1	2509
"Super Street Fighter V"	1	2510
"Tera Online"	1	2511
"Terraria"	1	2512
"The Cat Lady"	1	2513
"The Legend of Zelda: The Wind Waker"	1	2514
"The Samaritan Paradox"	1	2515
"Titan Attacks!"	1	2516
"Tom Clancy's Splinter Cell: Blacklist"	1	2517
"Tropico 3"	1	2518
"Uncharted 3"	1	2519
"Vagrant Story"	1	2520
"Victoria II"	1	2521
"Wii Party U"	1	2522
"this war of mine"	1	2523
"(???) Genre: Shmups"	1	2524
"(???) God Of War 1+3"	1	2525
"(???) Nhl"	1	2526
"(???) PacMan"	1	2527
"(???) Ratchet & Clank"	1	2528
"(???) SimCity"	1	2529
"(???) Thief 1-3"	1	2530
"(???) Tome"	1	2531
"(???) simpsons spiel fuer android"	1	2532
"A Game of Dwarves"	1	2533
"Aarklash: Legacy"	1	2534
"Age of Empires"	1	2535
"Alien Rage: Unlimited"	1	2536
"Aliens vs Predators (2010)"	1	2537
"Altitude"	1	2538
"Asphalt 8: Airborne"	1	2539
"Awesomenauts"	1	2540
"Baldur's Gate: Enhanced Edition"	1	2541
"Baphomets Fluch: Der Sündenfall"	1	2542
"Beasts of Prey"	1	2543
"Betrayer"	1	2544
"Blur"	1	2545
"Braveland"	1	2546
"Burnout Paradise"	1	2547
"Ceasar IV"	1	2548
"Chrono Trigger"	1	2549
"Creeper World 3 - Knuckle Cracker"	1	2550
"Darkfall Online"	1	2551
"Darkness Within: In Pursuit of Loath No"	1	2552
"Dragon Quest"	1	2553
"Duke Nukem: Land of the Babes"	1	2554
"Dynasty Warriors 8"	1	2555
"Eufloria HD"	1	2556
"Euro Truck Simulator 2013"	1	2557
"Evil Genius"	1	2558
"Evochron Mercenary"	1	2559
"F1 2014"	1	2560
"Fable Anniversary"	1	2561
"Fable III"	1	2562
"Far Cry"	1	2563
"Final Fantasy XIII-2"	1	2564
"Fuchstreff: Doppelkopf für Füchse"	1	2565
"Fußball Manager 14"	1	2566
"Gears of War"	1	2567
"God of War"	1	2568
"Gods Will Be Watching"	1	2569
"Hard Reset (Extended Edition)"	1	2570
"Hero Siege"	1	2571
"Heroes of Might and Magic III: The Rest"	1	2572
"Highway Racer 3D"	1	2573
"Homeworld"	1	2574
"I am Bread"	1	2575
"Icewind Dale: Enhanced Edition"	1	2576
"Imouto Ijime"	1	2577
"Infestation"	1	2578
"Journey"	1	2579
"Killer Instinct"	1	2580
"LittleBigPlanet 3"	1	2581
"Marvel: Ultimate Alliance"	1	2582
"Nano Assault Neo"	1	2583
"Need for Speed: Most Wanted (Origin)"	1	2584
"Nidhogg"	1	2585
"Nuclear Throne"	1	2586
"OMSI 2"	1	2587
"OpenTTD"	1	2588
"Pandora - First Contact"	1	2589
"Peggle 2"	1	2590
"Pharaoh"	1	2591
"Powerstar Golf"	1	2592
"Project Zomboid"	1	2593
"Prototype"	1	2594
"Reflec Beat plus!"	1	2595
"RockBand"	1	2596
"Rogue Legacy"	1	2597
"Runaway: A Road Adventure"	1	2598
"S.T.A.L.K.E.R.: Shadow of Chernobyl"	1	2599
"Screencheat"	1	2600
"Senran Kagura Shinovi Versus"	1	2601
"Shadow Warrior (2013)"	1	2602
"Sid Meier's Alpha Centauri"	1	2603
"Sightline: The Chair"	1	2604
"Sim City (2013)"	1	2605
"Sir, you are being hunted"	1	2606
"Small World"	1	2607
"Sonic the Hedgehog 2"	1	2608
"Star Wars Jedi Knight: Jedi Academy"	1	2609
"Star Wars: The Battle of Endor"	1	2610
"Sunless Sea"	1	2611
"Temple Run"	1	2612
"Tetris Ultimate"	1	2613
"The Pinball Arcade"	1	2614
"The Sailor's Dream"	1	2615
"Tiny Troopers"	1	2616
"Tom Clancy's Rainbow Six: Rogue Spear"	1	2617
"Torchlight"	1	2618
"UFO: Extraterrestrials"	1	2619
"Ultima IV: Quest of the Avatar"	1	2620
"Vector Thrust"	1	2621
"Warhammer: Mark of Chaos"	1	2622
"WildStar"	1	2623
"Wing Commander III: Heart of the Tiger"	1	2624
"Worms: Reloaded"	1	2625
"forza horizon 2"	1	2626
"(???) Dark Souls 1+2"	1	2627
"(???) Family Guy (Android)"	1	2628
"(???) Genre: RTS"	1	2629
"(???) Runaway 1-3"	1	2630
"(???) South Park"	1	2631
"(???) Southpark"	1	2632
"(???) Tentacle Girl"	1	2633
"(???) Tentacle Wars"	1	2634
"Advance Wars: Dual Strike"	1	2635
"Alien Swarm"	1	2636
"Amazing Alex"	1	2637
"Ar nosurge: Ode to an Unborn Star"	1	2638
"Audiosurf: Ride Your Music"	1	2639
"Azkend"	1	2640
"Baldur's Gate"	1	2641
"Bioshock"	1	2642
"Boom Beach"	1	2643
"Brave and Default"	1	2644
"Bravely Default"	1	2645
"Candy Crush"	1	2646
"Captain Toad: Treasure Tracker"	1	2647
"Caste Ville"	1	2648
"ClusterPuck 99"	1	2649
"Croqinole"	1	2650
"DCS: A-10C Warthog - Digital Combat Simulator"	1	2651
"Dark Age of Camelot"	1	2652
"Dark Project: Der Meisterdieb"	1	2653
"Dark Souls - Prepare to Die Edition"	1	2654
"Deliverance-Kingdome Comes Tech Alpha"	1	2655
"Die Siedler 7"	1	2656
"Die Siedler II – Die nächste Generation"	1	2657
"Doom & Destiny"	1	2658
"Dragon's Dogma"	1	2659
"Duke Nukem: Manhattan Project"	1	2660
"Dungeon Hunter: Alliance"	1	2661
"Dungeon Raid"	1	2662
"Emergency 4"	1	2663
"Estraged"	1	2664
"Fallout"	1	2665
"FarmVille"	1	2666
"Final Fantasy"	1	2667
"Forza Horizon"	1	2668
"Geheimakte: Sam Peters"	1	2669
"Guacamelee!"	1	2670
"Guilty Gear Xrd"	1	2671
"Hardboiled Chicken"	1	2672
"Heroes of Might and Magic 5"	1	2673
"Heroes of Might and Magic III: The Restoration"	1	2674
"LEGO Der Herr der Ringe"	1	2675
"LEGO Star Wars"	1	2676
"Landmark"	1	2677
"Legend of Grimrock"	1	2678
"Magicka"	1	2679
"Maniac Mansion"	1	2680
"MechWarrior 4: Mercenaries"	1	2681
"Memoria"	1	2682
"Metal Gear Solid 5: Ground Zeroes"	1	2683
"Murdered: Soul Suspect"	1	2684
"Need For Speed"	1	2685
"Need for Speed: Brennender Asphalt"	1	2686
"Neuroshima Hex"	1	2687
"Obulis"	1	2688
"Pikmin 3"	1	2689
"Pizza Connection"	1	2690
"Plague Inc. Evolved"	1	2691
"Pro Evolution Soccer 6"	1	2692
"Quake"	1	2693
"Race The Sun"	1	2694
"RaceRoom Racing Experience"	1	2695
"Rising Storm"	1	2696
"S.T.A.L.K.E.R.: Clear Sky"	1	2697
"Sacred 3"	1	2698
"Skylanders: Trap Team"	1	2699
"Sniper Elite: Nazi Zombie Army 2"	1	2700
"Sonic Boom: Rise of Lyric"	1	2701
"Space Age: A Game of Space Adventure"	1	2702
"Spider-Man Unlimited"	1	2703
"Star Wars: Force Collection"	1	2704
"Star Wars: X-Wing"	1	2705
"SteamWorld Dig"	1	2706
"Sword of the Stars: The Pit"	1	2707
"Tales of Xillia 2"	1	2708
"Texas Hold'Em King 2"	1	2709
"The Book of Unwritten Tales 2"	1	2710
"The Legend Of Zelda: Skyward Sword"	1	2711
"The Legend of Zelda: A Link between Worlds"	1	2712
"The Longest Journey"	1	2713
"The Wonderful 101"	1	2714
"The Yawhg"	1	2715
"TowerFall Ascension"	1	2716
"Trackmania Nations Forever"	1	2717
"Worms: Battlegrounds"	1	2718
"X3: Gold Edition"	1	2719
"XCOM UFO Defense"	1	2720
