"Wert"	"n"	"sum"
"Bloons Tower Defense 5	3	2683
"Blur	4	2687
"Book of unwritten Tales	1	2688
"Boom Beach	7	2695
"Borderlands	32	2727
"Borderlands 2	130	2857
"Borderlands The Pre- Sequel	1	2858
"Borderlands: The Pre-Sequel	97	2955
"Boulder Dash	1	2956
"Braid	2	2958
"Brave and Default	1	2959
"Braveland	1	2960
"Bravely Default	4	2964
"Brink	1	2965
"Broforce	7	2972
"Broken Age	3	2975
"Brothers: A Tale of Two Sons	10	2985
"Brütal Legend	5	2990
"Bubble Witch 2 Saga	1	2991
"Bulletstorm	6	2997
"Bully: Scholarship Edition	1	2998
"Burnout Paradise	5	3003
"CSI: Hidden Crimes	1	3004
"Caesar III	1	3005
"Call of Duty	47	3052
"Call of Duty 2	3	3055
"Call of Duty 3	1	3056
"Call of Duty 4: Modern Warfare	11	3067
"Call of Duty: Advanced Warfare	192	3259
"Call of Duty: Black Ops	7	3266
"Call of Duty: Black Ops II	39	3305
"Call of Duty: Ghosts	30	3335
"Call of Duty: Modern Warfare 2	19	3354
"Call of Duty: Modern Warfare 3	10	3364
"Call of Duty: World at War	2	3366
"Call of Juarez	4	3370
"Candy Crush	5	3375
"Candy Crush Saga	6	3381
"Candy Crush Soda Saga	4	3385
"Captain Toad: Treasure Tracker	1	3386
"Carcassonne	2	3388
"Carmageddon II: Carpocalypse Now	1	3389
"Caste Ville	2	3391
"Castle Clash	2	3393
"Castle Crashers	6	3399
"Castle Crush	1	3400
"Castle story	1	3401
"CastleMiner Z	1	3402
"Castlestorm	1	3403
"Castlevania: Lords of Shadow	8	3411
"Castlevania: Lords of Shadow - Mirror o	1	3412
"Castlevania: Lords of Shadow 2	7	3419
"Castlevania: Lords of Shadow – Mirror of F	1	3420
"Castlevania: Lords of Shadow – Mirror of Fat	1	3421
"Catherine	1	3422
"Cave Story+	2	3424
"Ceasar IV	2	3426
"Ceville	1	3427
"Champions Online	2	3429
"Chaos auf Deponia	1	3430
"Chariot	1	3431
"Chess (Jeroen Carolus)	1	3432
