"Table: [Spiel 1] Welche Spiele hast du in den letzten 21 Tagen genutzt? (Gib bei Addons/Mods bitte das Hauptspiel an.)"	"n"	"sum"
"Call of Duty: Modern Warfare 3 (2011)"	10	22274
"Day of Defeat: Source (2005)"	10	22284
"Dead Island: Epidemic (2014)"	10	22294
"Demon's Souls (2010)"	10	22304
"Dreamfall Chapters: The Longest Journey (2014)"	10	22314
"Rise of Nations (2003)"	10	22324
"The Elder Scrolls III: Morrowind (2002)"	10	22334
"Torchlight II (2012)"	10	22344
"Worms (1995)"	10	22354
"(???) SimCity ()"	9	22363
"Alice: Madness Returns (2011)"	9	22372
"Das Schwarze Auge: Blackguards (2014)"	9	22381
"Hotline Miami (2013)"	9	22390
"Nosgoth (2014)"	9	22399
"Red Faction: Guerrilla (2009)"	9	22408
"Risen (2009)"	9	22417
"Rust (2013)"	9	22426
"Styx: Master of Shadows (2014)"	9	22435
"The Legend of Zelda: A Link between Worlds (2013)"	9	22444
"Worms: Battlegrounds (2014)"	9	22453
"Final Fantasy VII (2013)"	9	22462
"How to Survive (2013)"	9	22471
"LIMBO (2011)"	9	22480
"Murdered: Soul Suspect (2014)"	9	22489
"Neverwinter Nights (2006)"	9	22498
"Next Car Game: Wreckfest (2014)"	9	22507
"Pflanzen gegen Zombies 2 (.)"	9	22516
"Robocraft (2014)"	9	22525
"Stronghold Crusader 2 (2014)"	9	22534
"The Stanley Parable (2013)"	9	22543
"Age of Wonders III (2014)"	8	22551
"Castlevania: Lords of Shadow (2010)"	8	22559
"Crysis (2007)"	8	22567
"Dead State (2014)"	8	22575
"Deus Ex (2000)"	8	22583
"Diablo II (2000)"	8	22591
"Emergency 5 (.)"	8	22599
"Final Fantasy X HD Remaster (2014)"	8	22607
"Gauntlet (2005)"	8	22615
"NBA 2K14 (2013)"	8	22623
"Quake Live (2009)"	8	22631
"Rift (2011)"	8	22639
"S.T.A.L.K.E.R.: Shadow of Chernobyl (2007)"	8	22647
"(???) Mario Kart ()"	8	22655
"Animal Crossing: New Leaf (2013)"	8	22663
"Defense Grid 2 (2014)"	8	22671
