"Table: [Spiel 1] Welche Spiele hast du in den letzten 21 Tagen genutzt? (Gib bei Addons/Mods bitte das Hauptspiel an.)"	"n"	"sum"
"Geheimakte 3 (2012)"	3	24223
"Minimum (2014)"	3	24226
"Postal 2 (2007)"	3	24229
"Race The Sun (2014)"	3	24232
"Starcraft (1998)"	3	24235
"Streetpass Mii-Lobby (.)"	3	24238
"Super Meat Boy (2010)"	3	24241
"Super Smash Bros. Melee (2001)"	3	24244
"Warhammer 40,000: Armageddon (2014)"	3	24247
"Spider Solitaire ()"	3	24250
"Stick Hero (.)"	3	24253
"(???) - ()"	2	24255
"(???) Bayonetta 1+2 ()"	2	24257
"(???) Metro ()"	2	24259
"APB: Reloaded (2011)"	2	24261
"Alpha Protocol (2010)"	2	24263
"Back to the Future: The Game (2012)"	2	24265
"Battlefield 1942 (2003)"	2	24267
"Bedlam (1996)"	2	24269
"Blood 2 (2010)"	2	24271
"Castle Clash (.)"	2	24273
"Castlevania: Lords of Shadow – Mirror of Fate (2013)"	2	24275
"Crimsonland (2014)"	2	24277
"DC Universe Online (2011)"	2	24279
"Das Schwarze Auge: Demonicon (2013)"	2	24281
"DeadCore (2014)"	2	24283
"Deadfall Adventures (2013)"	2	24285
"Depth (2014)"	2	24287
"Der Herr der Ringe: Der Krieg im Norden (2011)"	2	24289
"Der Herr der Ringe: Die Schlacht um Mittelerde (2004)"	2	24291
"Dofus (2004)"	2	24293
"Dogfight 1942 (2012)"	2	24295
"Dragon Age. Inquisition (2014)"	2	24297
"Drakensang Online (2011)"	2	24299
"Driver: San Francisco (2011)"	2	24301
"Dwarf Fortress (2006)"	2	24303
"Eador: Genesis (2013)"	2	24305
"EverQuest II (2004)"	2	24307
"Expeditions: Conquistador (2013)"	2	24309
"Final Fantasy VIII (2000)"	2	24311
"Fistful of Frags (2014)"	2	24313
"FlatOut 2 (2006)"	2	24315
"Gran Turismo 5 (2010)"	2	24317
"Hawken (2012)"	2	24319
"Heroes of Dragon Age (2013)"	2	24321
"Hidden & Dangerous 2 (2003)"	2	24323
"Horizon 2 (2014)"	2	24325
"Just Cause (2006)"	2	24327
"King's Bounty: Warriors of the North (2012)"	2	24329
"Knights of Honor (2009)"	2	24331
"Last Chaos (2009)"	2	24333
"Life is Feudal: Your Own (.)"	2	24335
"Lost Horizon (2010)"	2	24337
"Lufia (1996)"	2	24339
"Machinarium (2009)"	2	24341
"Magicite (2014)"	2	24343
"Medieval: Total War (2002)"	2	24345
"Might & Magic: Clash of Heroes (2011)"	2	24347
"Mountain (2014)"	2	24349
"NBA 2K12 (2011)"	2	24351
"OMSI 2 (2013)"	2	24353
"Octodad: Dadliest Catch (2014)"	2	24355
"Primal Carnage: Extinction (2014)"	2	24357
"Professor Layton vs. Phoenix Wright: Ace Attorney (2014)"	2	24359
"Pure Pool (2014)"	2	24361
"Red Orchestra: Ostfront 41-45 (2006)"	2	24363
"Resident Evil 4 (2007)"	2	24365
"Resonance (2012)"	2	24367
"Runes of Magic (2009)"	2	24369
"S.T.A.L.K.E.R.: Clear Sky (2008)"	2	24371
"ShootMania (2013)"	2	24373
"Star Wars: Force Collection (.)"	2	24375
"Super Smash Bros. Brawl (2008)"	2	24377
"The Swapper (2014)"	2	24379
"Tiny Troopers (2012)"	2	24381
"Total War Battles: Kingdom (2015)"	2	24383
"Total War: Shogun (2000)"	2	24385
"Trackmania Nations Forever (2008)"	2	24387
"Trove (2015)"	2	24389
"War in the Pacific (2004)"	2	24391
"Wings of Vi (2005)"	2	24393
"Yakuza 4 (2011)"	2	24395
"iRacing.com (2015)"	2	24397
"(???) Halo 1-4 ()"	2	24399
"A New Beginning (2012)"	2	24401
"Anno Online (.)"	2	24403
"Arcanum: Von Dampfmaschinen und Magie (2004)"	2	24405
"ArcheBlade (2014)"	2	24407
"Bad Piggies (2012)"	2	24409
"Bejeweled (2011)"	2	24411
"Bejeweled 3 (2011)"	2	24413
"Braid (2009)"	2	24415
"Carcassonne (2007)"	2	24417
"Cave Story+ (2011)"	2	24419
"Champions Online (2009)"	2	24421
"Dark Souls - Prepare to Die Edition (2011)"	2	24423
"Dead Space 3 (2013)"	2	24425
"Dino D-Day (2011)"	2	24427
"DuckTales: Remastered (2013)"	2	24429
"Dungeon Hunter 4 (.)"	2	24431
"Dungeon Siege II (2005)"	2	24433
"Dungeon Siege III (2011)"	2	24435
"Dungeons of Dredmor (2011)"	2	24437
"Dustforce (2012)"	2	24439
"Edna bricht aus (2011)"	2	24441
"Emergency 2014 (2013)"	2	24443
"Enemy Front (2014)"	2	24445
"Europa Universalis III (2007)"	2	24447
"Evolve (2015)"	2	24449
"Farmville 2 (.)"	2	24451
"Fussball Manager 14 (.)"	2	24453
"Geheimakte Tunguska (2010)"	2	24455
"Halo: Reach (2010)"	2	24457
"Hatsune Miku: Project Diva F 2nd (2014)"	2	24459
"Jade Empire (2005)"	2	24461
"Jagged Alliance 2 (2006)"	2	24463
"Kantai Collection (2013)"	2	24465
"Kentucky Route Zero ()"	2	24467
"Killer is Dead (2013)"	2	24469
"LEGO Batman: The Videogame (2008)"	2	24471
"Legacy of Kain: Soul Reaver (2000)"	2	24473
"Live for Speed (.)"	2	24475
"MLB 14 The Show (2014)"	2	24477
"Mad Games Tycoon (2015)"	2	24479
"Madden NFL 25 (2013)"	2	24481
"Mercenary Kings (2014)"	2	24483
"NBA 2K13 (2013)"	2	24485
"Naruto Shippuden: Ultimate Ninja Storm 3 (2013)"	2	24487
"Need for Speed World (2010)"	2	24489
"Nickelodeon's The Legend of Korra (.)"	2	24491
"No More Room In Hell (2013)"	2	24493
"Painkiller (2004)"	2	24495
"Peggle (2010)"	2	24497
"Persona 4: The Ultimax Ultra Suplex Hold (2014)"	2	24499
"Pokémon: Platinum Version (2009)"	2	24501
"Pool Nation (2012)"	2	24503
"Prototype (2009)"	2	24505
"Ragnarok Online (20 Tage kostenlos) (2013)"	2	24507
"Reflex (2013)"	2	24509
"Rise of the Triad (2013)"	2	24511
"RollerCoaster Tycoon 2 (2004)"	2	24513
"S4 League (2006)"	2	24515
"Sid Meier's Railroad Tycoon ()"	2	24517
"Sonic Generations (2011)"	2	24519
"Space Hulk: Ascension Edition (2013)"	2	24521
"SpaceChem (2011)"	2	24523
"Spirit Stones (.)"	2	24525
"Super Mario Bros. 2 (2013)"	2	24527
"TRI: Of Friendship and Madness (.)"	2	24529
"The Incredible Adventures of Van Helsing (2013)"	2	24531
"The Longest Journey (2007)"	2	24533
"TheHunter (.)"	2	24535
"Tiny and Big: Grandpa's Leftovers (2012)"	2	24537
"Titan Quest (2011)"	2	24539
"Tomodachi Life (2014)"	2	24541
"Torchlight (2011)"	2	24543
"Virtue's Last Reward (2012)"	2	24545
"WAKFU (.)"	2	24547
"WRC 4 FIA World Rally Championship (2011)"	2	24549
"World in Conflict (2007)"	2	24551
"World of Guns: Gun Disassembly (2014)"	2	24553
"X: Rebirth (2013)"	2	24555
"(???) Battlefield 3/4 ()"	2	24557
"(???) Gran Turismo ()"	2	24559
"(???) Tome ()"	2	24561
"100% Orange Juice (2013)"	2	24563
"Airline Tycoon ()"	2	24565
"Amnesia: A Machine for Pigs (2013)"	2	24567
"Anno 1602: Erschaffung einer neuen Welt (2005)"	2	24569
"AquaNox 2: Revelation (2003)"	2	24571
"Call of Duty: World at War (2008)"	2	24573
"Caste Ville (2011)"	2	24575
"Command & Conquer: Alarmstufe Rot 3 (2008)"	2	24577
"Contagion (2013)"	2	24579
"Curve Fever (2010)"	2	24581
"Cut The Rope 2 (2011)"	2	24583
"Day of Defeat (2003)"	2	24585
"Dead Rising (2006)"	2	24587
"Die Siedler – Aufstieg eines Königreichs (2007)"	2	24589
"Die Stämme (2003)"	2	24591
"Dirt: Showdown (2012)"	2	24593
"Distant Worlds (2011)"	2	24595
"Donkey Kong Country: Tropical Freeze (2014)"	2	24597
"Downfall (2014)"	2	24599
"Elder Sign: Omens (2011)"	2	24601
"Fußball Manager 13 (2012)"	2	24603
"Hero Siege (2014)"	2	24605
"Herrscher des Olymp – Zeus (2004)"	2	24607
"Hex: Shards of Fate (3000)"	2	24609
"Hitman: Contracts (2005)"	2	24611
"Kingdom Come: Deliverance (2016)"	2	24613
"Kingdom Rush (2011)"	2	24615
"Landwirtschafts-Simulator 2013 (2012)"	2	24617
"Landwirtschafts-Simulator 2014 (.)"	2	24619
"Lightning Returns: Final Fantasy XIII (2014)"	2	24621
"Maniac Mansion (1989)"	2	24623
"Mashed (2005)"	2	24625
"Metal Gear Solid 4: Guns of the Patriots (2008)"	2	24627
"Metro: Last Light Redux (2013)"	2	24629
"Monster Hunter Freedom Unite (2008)"	2	24631
"Naruto Shippuuden: Narutimate Storm Revolution (2014)"	2	24633
"Need for Speed: Brennender Asphalt (1999)"	2	24635
"Need for Speed: Most Wanted (2005)"	2	24637
"Ogame (2002)"	2	24639
"Peggle 2 (2014)"	2	24641
"Pixel Dungeon (2014)"	2	24643
"Pokémon: Feuerrote Edition (2004)"	2	24645
"Port Royale 3 (2012)"	2	24647
"Psychonauts (2005)"	2	24649
"Race 07: Official WTCC Game (2009)"	2	24651
"Randal's Monday (2014)"	2	24653
"Red Faction: Armageddon (2011)"	2	24655
"Runaway: A Road Adventure (2002)"	2	24657
"SWAT 3 (1999)"	2	24659
"Sacred (2004)"	2	24661
"Sanctum (2012)"	2	24663
"Shroud of the Avatar: Forsaken Virtues (2014)"	2	24665
"Sid Meier's Civilization IV: Colonization (2008)"	2	24667
"Silent Hunter 5: Battle of the Atlantic (2010)"	2	24669
"Split Second: Velocity (2010)"	2	24671
"Star Wars: TIE Fighter (1994)"	2	24673
"SteamWorld Dig (2014)"	2	24675
"Subway Surfer (2012)"	2	24677
"Sunrider (.)"	2	24679
"Super Mario Galaxy ()"	2	24681
"TOME: Immortal Arena (2014)"	2	24683
"Tales of Symphonia (2003)"	2	24685
"The Cave (2013)"	2	24687
"Titan Attacks! (2014)"	2	24689
"Tony Hawk's Pro Skater HD (2012)"	2	24691
"TowerFall Ascension (2014)"	2	24693
"Transport Tycoon (1994)"	2	24695
"Triple Town (2012)"	2	24697
"Warface (2014)"	2	24699
"Wii Party U (2013)"	2	24701
"Z (1996)"	2	24703
"inFamous 2 (2014)"	2	24705
"(???) Schach ()"	2	24707
"(???) Worms 3 ()"	2	24709
"A Game of Dwarves (2012)"	2	24711
"Battle Island (2014)"	2	24713
"Ceasar IV (2006)"	2	24715
"Creeper World 3 - Knuckle Cracker (.)"	2	24717
"Darkness Within: In Pursuit of Loath Nolder (2007)"	2	24719
"FORCED (.)"	2	24721
"Family Guy: Mission Sachensuche (.)"	2	24723
"God of War (2005)"	2	24725
"Gunpoint (2013)"	2	24727
"Happy Wheels (2010)"	2	24729
"Harveys Neue Augen (2013)"	2	24731
"Hyperdimension Neptunia (2011)"	2	24733
"InFamous: First Light (2014)"	2	24735
"Infinity Wars (2014)"	2	24737
"Need for Speed: The Run (2011)"	2	24739
"Pikmin 3 (2013)"	2	24741
"RollerCoaster Tycoon 3 (2004)"	2	24743
"Senran Kagura Shinovi Versus (2013)"	2	24745
"Sid Meier's Alpha Centauri (1999)"	2	24747
"Sid Meier's Pirates! (2004)"	2	24749
"Sir, you are being hunted (2013)"	2	24751
"Small World (.)"	2	24753
"Star Wars Jedi Knight: Jedi Academy (2003)"	2	24755
"Tetris ()"	2	24757
"The Lost Vikings (1993)"	2	24759
"The Pinball Arcade (2014)"	2	24761
"Tomb Raider: Anniversary (2007)"	2	24763
"TrackMania (2004)"	2	24765
"Vector Thrust (.)"	2	24767
"Velvet Assassin (2009)"	2	24769
"Worms: Ultimate Mayhem (2012)"	2	24771
"rFactor (2007)"	2	24773
"skate 3 (2010)"	2	24775
"Ace of Spades (2012)"	2	24777
"Age of Empires: Castle Siege (2014)"	2	24779
"Dark Age of Camelot (2002)"	2	24781
"Dark Project: Der Meisterdieb (1998)"	2	24783
"Defender's Quest: Valley of the Forgotten (2012)"	2	24785
"Full Mojo Rampage (2014)"	2	24787
"Hexcells Infinite (.)"	2	24789
"Need For Speed: Carbon (2006)"	2	24791
"Quake (1996)"	2	24793
"Quake 4 (2011)"	2	24795
"Sniper Elite: Nazi Zombie Army 2 (2013)"	2	24797
"Tekken (1995)"	2	24799
"Warhammer 40,000: Dawn of War (2004)"	2	24801
"(???) Alien ()"	1	24802
"(???) BF23 ()"	1	24803
"(???) Baldur's Gate 1+2 ()"	1	24804
"(???) Deponia 1-3 ()"	1	24805
"(???) Deponia-Serie ()"	1	24806
"(???) Doto.2 ()"	1	24807
"(???) Dragon Age 1 - 3 ()"	1	24808
"(???) Dragon Age alle Teile ()"	1	24809
"(???) Dragon AgeO ()"	1	24810
"(???) Evoker ()"	1	24811
"(???) Farming Simulator ()"	1	24812
"(???) Jurassic Park ()"	1	24813
"(???) Just Dance ()"	1	24814
"(???) Landwirtschaft Simulator ()"	1	24815
"(???) Landwirtschaftssimulator ()"	1	24816
"(???) Magna Carta ()"	1	24817
"(???) Mass Effect 2+3 ()"	1	24818
"(???) Professor Layton Reihe ()"	1	24819
"(???) Professor Layton und die Maske des Schicksals ()"	1	24820
"(???) SSB ()"	1	24821
"(???) Silent Hill ()"	1	24822
"(???) Star Wars ()"	1	24823
"(???) The Chronicles of Riddick ()"	1	24824
"(???) fifa 14/15 ()"	1	24825
"Ace Combat: Infinity (.)"	1	24826
"Act of War: Direct Action (2005)"	1	24827
"Action Henk (2015)"	1	24828
"Adventure Town (.)"	1	24829
"Age Of Wonders (1999)"	1	24830
"Arena : Cyber Evolution (.)"	1	24831
"ArmA: Armed Assault (2006)"	1	24832
"Army of Two (2008)"	1	24833
"Assassin's Creed Unity (2014)"	1	24834
"BIT.TRIP RUNNER (2011)"	1	24835
"Baphomets Fluch (1996) (1998)"	1	24836
"Battle Realms (2001)"	1	24837
"Battlefield: Bad Company (2008)"	1	24838
"Bike Rivals (.)"	1	24839
"Blacklight Retribution (2013)"	1	24840
"Book of unwritten Tales (2009)"	1	24841
"Circuits (2014)"	1	24842
"Civ. Beyond Earth (2014)"	1	24843
"Cognition: An Erica Reed Thriller (.)"	1	24844
"Combat Arms (2008)"	1	24845
"Command & Conquer: Tiberium Alliances (2012)"	1	24846
"CosmicBreak (2008)"	1	24847
"Costume Quest (2010)"	1	24848
"Crazy Taxi (2002)"	1	24849
"Danganronpa (2014)"	1	24850
"Dark Chronicle (2003)"	1	24851
"Das Schwarze Auge: Satinavs Ketten (2012)"	1	24852
"Deadlight (2012)"	1	24853
"Deponia - the Complete Journey (.)"	1	24854
"Desperados: Wanted Dead or Alive (2001)"	1	24855
"Despicable Me: Minion Rush (.)"	1	24856
"Doodle Jump (2009)"	1	24857
"Doppelkopf ()"	1	24858
"Driftmoon (2013)"	1	24859
"Dungeon Village (2012)"	1	24860
"Eschalon ()"	1	24861
"F.E.A.R. 3 (2011)"	1	24862
"Far cry 4 (2014)"	1	24863
"Façade (2005)"	1	24864
"Final Fantasy III (2012)"	1	24865
"Forge of Empires (2012)"	1	24866
"Freecol (2003)"	1	24867
"Galaxy on Fire (2006)"	1	24868
"Gang Beasts (2014)"	1	24869
"Gas Guzzlers Extreme (2013)"	1	24870
"Half-Life: Source (2004)"	1	24871
"Heavy Rain (2010)"	1	24872
"Hellgate: London (2007)"	1	24873
"Heroes of Newerth (2010)"	1	24874
"Hitman ()"	1	24875
"Homefront (2011)"	1	24876
"Kenshi (2011)"	1	24877
"Kingdom Hearts II (2006)"	1	24878
"Kingdom Hearts II HD (.)"	1	24879
"Kingdom of Loathing (2003)"	1	24880
"Luigi's Mansion 2 (2013)"	1	24881
"Metal Gear Solid 3: Snake Eater (2005)"	1	24882
"Might & Magic Duel of Champions (2013)"	1	24883
"Might & Magic: Heroes 6 (2011)"	1	24884
"Might and Magic Heroes VI (2011)"	1	24885
"Mystery Case Files: Dire Grove, Sacred Grove (.)"	1	24886
"Need for Speed: Shift (2009)"	1	24887
"Nobunaga's Ambition: Souzou (2014)"	1	24888
"Obscure II (2007)"	1	24889
"Oddworld: Abe's Oddysee (1997)"	1	24890
"Phantasy Star Online 2 (.)"	1	24891
"Playstation Home (2008)"	1	24892
"Pokémon: Gelbe Edition - Special Pikachu Edition (2000)"	1	24893
"Pokémon: Schwarze Edition (2011)"	1	24894
"Primordia (2012)"	1	24895
"Prince of Persia: The Sands of Time (2009)"	1	24896
"Rune Factory Frontier (2009)"	1	24897
"Sakura Spirit (2014)"	1	24898
"Samurai Warriors 4 (2014)"	1	24899
"Severance: Blade of Darkness (2001)"	1	24900
"Shin Megami Tensei: Persona 3 (2007)"	1	24901
"Sid Meier's Civilization III (2002)"	1	24902
"Sideswiped (2009)"	1	24903
"Singularity (2010)"	1	24904
"SolForge (2012)"	1	24905
"Star Wars: Knights of the Old Republic II - The Sith Lords (2004)"	1	24906
"Stargate: Resistance (2010)"	1	24907
"Stonekeep (1998)"	1	24908
"Strider (1990)"	1	24909
"Suikoden (1996)"	1	24910
"Super Smash Bros Wii U (2014)"	1	24911
"Tales of Innocence R (2012)"	1	24912
"Tales of hearts r (2014)"	1	24913
"Teeworlds (2007)"	1	24914
"Temple Run 2 (.)"	1	24915
"The Last Of Us: Factions (2013)"	1	24916
"The Legend of Zelda: Oracle of Ages (2001)"	1	24917
"The Talos Principle (.)"	1	24918
"The Witcher 2 (2011)"	1	24919
"Tom Clancy's Ghost Recon (2001)"	1	24920
"Tony Hawk's Pro Skater 3 (2001)"	1	24921
"Trials: Frontier (.)"	1	24922
"Virtua Tennis 4 (2011)"	1	24923
"WET (2009)"	1	24924
"Wimmelbildspiele (Big Fish) ()"	1	24925
"XStoryPlayer 3.0 (.)"	1	24926
"guitar hero 6 (2010)"	1	24927
"the crew (2014)"	1	24928
"the walking dead telltall ()"	1	24929
"(???) Alien vs. Predator ()"	1	24930
"(???) Assassin's Creed 4: Unity ()"	1	24931
"(???) Avatar ()"	1	24932
"(???) Battlefield: Modern Warfacre ()"	1	24933
"(???) Die Sims 2 / 3 ()"	1	24934
"(???) F.E.A.R. 1, 2 & 3 ()"	1	24935
"(???) Farcry alle Teile ()"	1	24936
"(???) Football Manager ()"	1	24937
"(???) Fußball Manager ()"	1	24938
"(???) Hugo ()"	1	24939
"(???) Lego Harry Potter 5-7 ()"	1	24940
"(???) Marvell Heroes ()"	1	24941
"(???) Massefect 1+2 ()"	1	24942
"(???) Portal 1/2 ()"	1	24943
"(???) Pro Evolution Soccer ()"	1	24944
"(???) SW: KoToR 1 /2 ()"	1	24945
"(???) Simpsons ()"	1	24946
"(???) Smash Bros. Brawl for Wii U ()"	1	24947
"(???) Sniper Elite 3 + die 2 Zombie-Army Teile ()"	1	24948
"(???) The Endless ()"	1	24949
"(???) The GReat Giana Sisters Twisted Dreams ()"	1	24950
"(???) civ 6 ()"	1	24951
"(???) diverse iPhone ()"	1	24952
"(???) naruto shippuden ultimate ninja storm ()"	1	24953
"(???) naruto ultimate ninja storm ()"	1	24954
"(???) phoenix Wright Reihe ()"	1	24955
"0 A.D. (.)"	1	24956
"3 Gewinnt (Big Fish) ()"	1	24957
"4 Bilder ein Wort (.)"	1	24958
"AVA - Alliance of Valiant Arms (2011)"	1	24959
"Academagia: The Making of Mages (2010)"	1	24960
"Age of Wonders II: Der Zirkel der Zauberer (2002)"	1	24961
"Alan Wake's American Nightmare (2012)"	1	24962
"Alarm für Cobra 11: Das Syndikat (2011)"	1	24963
"Alien Isolation (2014)"	1	24964
"Amazing Ninja (.)"	1	24965
"Anarchy Reigns (2013)"	1	24966
"Anno 1503 (2006)"	1	24967
"Anvil of Dawn (1995)"	1	24968
"Army of Darkness: Defense (.)"	1	24969
"Assassin's Creed ()"	1	24970
"Battlefield 4/Final Stand (2013)"	1	24971
"Bernd Das Brot Und Die Unmöglichen (.)"	1	24972
"Black & White 2 (2005)"	1	24973
"Blackshot (2009)"	1	24974
"Bleach - Soul Resurreccion (.)"	1	24975
"Blitz Brigade (.)"	1	24976
"Borderlands The Pre- Sequel (2014)"	1	24977
"Boulder Dash (1986)"	1	24978
"Call of Duty 3 (2006)"	1	24979
"Carmageddon II: Carpocalypse Now (1998)"	1	24980
"Castle story (2015)"	1	24981
"Chariot (2014)"	1	24982
"Chess (Jeroen Carolus) (.)"	1	24983
"Civilization Beyond Earth (2014)"	1	24984
"Civilization Revolution (2008)"	1	24985
"Clicker heroes (2015)"	1	24986
"Command & Conquer: Renegade (2002)"	1	24987
"Cookie Clicker (2013)"	1	24988
"Criminal Case (2012)"	1	24989
"Crimson Shroud (2012)"	1	24990
"Cry of Fear (2013)"	1	24991
"Crypt of the NecroDancer (.)"	1	24992
"Dear Esther (2012)"	1	24993
"Der Puppenspieler (2013)"	1	24994
"Deus Ex: The Fall (2014)"	1	24995
"Die Siedler II (1996)"	1	24996
"Die Siedler IV (2001)"	1	24997
"Die Sielder - Das Erbe der Könige (.)"	1	24998
"Divine Divinity (2002)"	1	24999
"Door Kickers (2014)"	1	25000
"Dragon Ball Z: Budokai Tenkaichi 2 (2006)"	1	25001
"Dragon's Crown (2013)"	1	25002
"Dust 514 (.)"	1	25003
"Edge of Space (2013)"	1	25004
"Elite (1992)"	1	25005
"Endless Dungeon (2014)"	1	25006
"Escape Dead Island (2014)"	1	25007
"Escape Plan (2012)"	1	25008
"Etrian Odyssey (2008)"	1	25009
"Falcon 4.0 (1998)"	1	25010
"Fat Princess: Piece of Cake (.)"	1	25011
"Fate/Stay Night (2004)"	1	25012
"Final Fantasy VI (1999)"	1	25013
"Forge Quest (2013)"	1	25014
"Fortix 2 (2011)"	1	25015
"Fractured Space (2014)"	1	25016
"Frets on Fire (2006)"	1	25017
"Fußball manager 13 (2012)"	1	25018
"Gangsters: Organized Crime (1998)"	1	25019
"Gender Bender DNA Twister Extreme (2014)"	1	25020
"Ghost Recon: Future Soldier (2012)"	1	25021
"Goodbye Deponia (2013)"	1	25022
"Gothic II - Die Nacht des Raben (2003)"	1	25023
"Guitar Hero ()"	1	25024
"Halo 2 (2004)"	1	25025
"Happy Wars (2012)"	1	25026
"Harvest Moon DS (2006)"	1	25027
"Heroes of storm (2015)"	1	25028
"Heroine's Quest: The Herald of Ragnarok (2014)"	1	25029
"Hitman: Blood Money (2007)"	1	25030
"IL-2 Sturmovik: Battle of Stalingrad (2014)"	1	25031
"Infinite Undiscovery (2008)"	1	25032
"Infinity Blade II (2011)"	1	25033
"Jetpack Joyride (2012)"	1	25034
"Kairo (2012)"	1	25035
"Killzone 3 (2011)"	1	25036
"Kingdom Rush HD (.)"	1	25037
"LEGO Indiana Jones (2008)"	1	25038
"LEGO Movie (2014)"	1	25039
"Last of Us (2013)"	1	25040
"Lost Planet 3 (2013)"	1	25041
"MXGP - The Official Motocross Videogame (2014)"	1	25042
"Madden NFL 09 (2008)"	1	25043
"Mario Kart 64 (1996)"	1	25044
"Medal of Honor: Allied Assault (2002)"	1	25045
"Melody's Escape (2014)"	1	25046
"Men of War: Assault Squad (2011)"	1	25047
"Metroid: Other M (2010)"	1	25048
"Mines of Mars (.)"	1	25049
"Mini Ninjas (2009)"	1	25050
"Monkey Island 2: LeChuck's Revenge (1991)"	1	25051
"Mordheim: City of the Damned (2014)"	1	25052
"Natural Doctrine (2014)"	1	25053
"Need for Speed Underground 2 (2004)"	1	25054
"Ninja Gaiden 3 Razor's Edge (2012)"	1	25055
"One Piece: Pirate Warriors (2012)"	1	25056
"One Piece: Pirate Warriors 2 (2013)"	1	25057
"Operation Flashpoint: Red River (2011)"	1	25058
"Pokémon Mystery Dungeon: Erkundungsteam Himmel (2009)"	1	25059
"Pro Evolution Soccer 2014 (2013)"	1	25060
"Professor Layton und das Vermächtnis von Aslant (2013)"	1	25061
"Radiant Historia (2010)"	1	25062
"Raiden III (2007)"	1	25063
"Rayman Raving Rabbids (2006)"	1	25064
"Rebuild 2 (2011)"	1	25065
"Renegade-x (2009)"	1	25066
"Rise of Venice (2013)"	1	25067
"S.O.L : Stone of Life EX (.)"	1	25068
"Scrabble (Smartphone) ()"	1	25069
"Scrolls (2013)"	1	25070
"Sentinel 3: Homeworld (2011)"	1	25071
"Shadow Hearts (2001)"	1	25072
"Silent Hill 2 (2001)"	1	25073
"Silent Hunter 4 (2007)"	1	25074
"Simcity 2000 (1994) (1995)"	1	25075
"Slenderman (.)"	1	25076
"Smugglers 5 (.)"	1	25077
"Star Conflict (2012)"	1	25078
"Star Ocean: The Last Hope (2009)"	1	25079
"Star Wars: Tiny Death Star (2013)"	1	25080
"Steins;Gate (2014)"	1	25081
"Symphony (2012)"	1	25082
"TITAN ATTACKS (2014)"	1	25083
"Tales of Phantasia (1998)"	1	25084
"The Amazing Spider-Man 2 (2014)"	1	25085
"The Binding of Isaac. Rebirth (2014)"	1	25086
"The Blackwell Epiphany (2014)"	1	25087
"The Blackwell Legacy (2012)"	1	25088
"The LEGO Movie Videogame (2014)"	1	25089
"The Legend of Zelda: Spirit Tracks (2009)"	1	25090
"The Secret of Monkey Island (1990)"	1	25091
"The Secret of Monkey Island - Special Edition (2010)"	1	25092
"Tom Clancy's Ghost Recon Advanced Warfighter (2006)"	1	25093
"Tomb Raider 2 (1998)"	1	25094
"Tribes: Ascend (2012)"	1	25095
"Tropico (2009)"	1	25096
"Uniwar (.)"	1	25097
"Unreal (1999)"	1	25098
"Unreal Tournament 2003 (2003)"	1	25099
"Violett (2013)"	1	25100
"Volo Airsport (2014)"	1	25101
"Wargame: Airland Battle (2013)"	1	25102
"Warlords: Battlecry III (2006)"	1	25103
"World of Warplanes (2013)"	1	25104
"X3: Albion Prelude (2011)"	1	25105
"X: Superbox ()"	1	25106
"Ys Origin (2006)"	1	25107
"Yu-Gi-Oh! Worldwide Edition: Stairway to the Destined Duel (2003)"	1	25108
"Zengrams (.)"	1	25109
"diablo 3 (2012)"	1	25110
"salt (2014)"	1	25111
"the evil within (2014)"	1	25112
"(???) Colin Mcrae rally ()"	1	25113
"(???) Deponia (Teil 2 & 3 ) ()"	1	25114
"(???) Dragon Age 1+3 ()"	1	25115
"(???) Dragon Age Series ()"	1	25116
"(???) Dragon Agentur 3 ()"	1	25117
"(???) Duolingo ()"	1	25118
"(???) Far Cry 3/4 ()"	1	25119
"(???) Far Cry Reihe ()"	1	25120
"(???) Flash spiele auf kongregate.com und armorgames.com ()"	1	25121
"(???) Kotor 1 & 2 ()"	1	25122
"(???) LS Simulator 2013 ()"	1	25123
"(???) Lanwirtschaftssimulator ()"	1	25124
"(???) Madden ()"	1	25125
"(???) Mass Effect Reihe ()"	1	25126
"(???) Max ()"	1	25127
"(???) Metal Gear Solid HD Collection ()"	1	25128
"(???) Middle-earth ()"	1	25129
"(???) Omnibus 2 ()"	1	25130
"(???) PanzerGeneral ()"	1	25131
"(???) Picross ()"	1	25132
"(???) Pro Evolution Soccer 200x ()"	1	25133
"(???) Prof layton ()"	1	25134
"(???) SC:BL ()"	1	25135
"(???) Skylanders ()"	1	25136
"(???) The tribes & castles ()"	1	25137
"(???) Titan ()"	1	25138
"(???) Trials ()"	1	25139
"(???) Wice star ()"	1	25140
"(???) Wing Commander ()"	1	25141
"(???) X-Plane ()"	1	25142
"(???) oculus rift demos ()"	1	25143
"(???) viele Indie-Puzzle/Adventure-Spiele ()"	1	25144
"Age of Chivalry (2004)"	1	25145
"Airline Tycoon 2 (2011)"	1	25146
"Amnesia: The Dark Descent (2011)"	1	25147
"Anarchy Online (2004)"	1	25148
"Angry Birds Rio (2013)"	1	25149
"Armed Assault 3‎ (2013)"	1	25150
"Art of Balance (2010)"	1	25151
"Bang Bang Racing (2012)"	1	25152
"Blackwell Unbound (2012)"	1	25153
"Bladestorm: Der Hundertjährige Krieg (2007)"	1	25154
"Blendoku (.)"	1	25155
"Blockstorm (2015)"	1	25156
"Bubble Witch 2 Saga (.)"	1	25157
