"Titel"	"Anzahl"
"(???) Duolingo"	1
"(???) Evoker"	1
"(???) Family Guy"	1
"(???) Far Cry Reihe"	1
"(???) Flash spiele auf kongregate.com und armorgames.com"	1
"(???) Football Manager"	1
"(???) God Of War 1+3"	1
"(???) Gran Turismo"	1
"(???) Ich hasse Frauen"	1
"(???) Lasers"	1
"(???) LS Simulator 2013"	1
"(???) Magna Carta"	1
"(???) Massefect 1+2"	1
"(???) Middle-earth"	1
"(???) PacMan"	1
"(???) Portal 1/2"	1
"(???) Prof layton"	1
"(???) Professor Layton und die Maske des Schicksals"	1
"(???) Schach"	1
"(???) South Park"	1
"(???) Tentacle Girl"	1
"(???) The Elder Scrolls: Oblivion/Skyrim"	1
"(???) The Legend of Zelda"	1
"(???) Tomb Raider - Alle Teile"	1
"(???) Tome"	1
"(???) Total War (Spielereihe)"	1
"(???) Uncharted"	1
"(???) viele Indie-Puzzle/Adventure-Spiele"	1
"(???) X-Plane"	1
"0h h1"	1
"100% Orange Juice"	1
"4 Bilder ein Wort"	1
"80 days"	1
"Age Of Wonders"	1
"Age of Wonders II: Der Zirkel der Zauberer"	1
"Aion"	1
"Alien Rage: Unlimited"	1
"Alien Swarm"	1
"Amnesia: A Machine for Pigs"	1
"Anarchy Online"	1
"Angry Birds"	1
"Angry Birds Transformers"	1
"Anno 1602"	1
"Anno 1701"	1
"Anno Online"	1
"Arcana Heart 3: LOVE MAX!!!!!"	1
"Arena : Cyber Evolution"	1
"Armed Assault 3‎"	1
"Armies of Exigo"	1
"Audiosurf 2"	1
"Aura Kingdom"	1
"AVA - Alliance of Valiant Arms"	1
"Baldur's Gate 2: Schatten von Amn"	1
"Baldur's Gate: Enhanced Edition"	1
"Battlefield 1942"	1
"Battlefield 2"	1
"Battlefield Heroes"	1
"Bayonetta"	1
"Beasts of Prey"	1
"Bejeweled"	1
"Betrayer"	1
"Beyond Good ""Beyond Good & Evil"" Evil"	1
"Beyond Good ""Beyond Good and Evil"" Evil"	1
"BIT.TRIP RUNNER"	1
"Bit.Trip.Runner"	1
"Bit.Trip.Runner 2"	1
"Blackshot"	1
"Blackwell Unbound"	1
"Bleach - Soul Resurreccion"	1
"Blendoku"	1
"Blockstorm"	1
"Bloons Tower Defense 5"	1
"Blur"	1
"Bully: Scholarship Edition"	1
"Call of Duty: Black Ops"	1
"Call of Duty: Modern Warfare 3"	1
"Candy Crush"	1
"Candy Crush Saga"	1
"Castle Crashers"	1
"CastleMiner Z"	1
