"Titel"	"Nennungen"
"Brutal Legend ()"	1
"Broken Sword: Shadow of the Templars ()"	1
"Brink (2011)"	1
"Breach & Clear ()"	1
"Bout 2 ()"	1
"Bound by Flame (2014)"	1
"Bloons TD 5 (2012)"	1
"BloodRayne 2 (2004)"	1
"Blitzriegmod / Mod von Company of Heroes 1 ()"	1
"Binary Domain (2012)"	1
"Big Pharma ()"	1
"Betrayer ()"	1
"Besiege ()"	1
"Beat Hazard (2010)"	1
"Batman: Arkham City - Game of the Year Edition ()"	1
"Batman: Arkham Asylum Game of the Year Edition ()"	1
"Barter Empire ()"	1
"Baldur's Gate II: Enhanced Edition ()"	1
"Badlands (2005)"	1
"BRAWL ()"	1
"Azure Striker Gunvolt ()"	1
"Auralux ()"	1
"Aura Kingdom (2013)"	1
"Audiosurf: Ride Your Music (2008)"	1
"Audiosurf 2 ()"	1
"Atomas ()"	1
"Atelier Rorona Plus: The Alchemist of Arland (2014)"	1
"Asura's Wrath (2012)"	1
"Asterix & Obelix XXL ()"	1
"Assault Android Cactus ()"	1
"Asphalt 8: Airborne (0)"	1
"ArmA: Armed Assault (2006)"	1
"ArcheBlade (2014)"	1
"ArcheAge (2013)"	1
"Arcania: Gothic 4 (2010)"	1
"Arcana Heart 3 LOVE MAX!!!!! ()"	1
"Antichamber ()"	1
"Anno Online ()"	1
"Anno 1602: Erschaffung einer neuen Welt (2005)"	1
"Anno 1503 (2006)"	1
"Anno 1404: Venice (2010)"	1
"Anna's Quest (2015)"	1
"Anarchy Online (2004)"	1
"Among the Sleep (2015)"	1
"Amnesia: The Dark Descent (2011)"	1
"American McGee’s Alice ()"	1
"Alpha Protocol (2010)"	1
"Aliens vs. Predator (1999) ()"	1
"Aliens vs Predator (2010) ()"	1
"Albion Online ()"	1
"Aion (2009)"	1
"Age of Mythology (2002)"	1
"Age Of Wonders (1999)"	1
"Agarest Generation of War: Zero ()"	1
"Adventure (1979)"	1
"Ace Attorney - All for Justice ()"	1
"Abyss Odyssey ()"	1
"A Story About My Uncle (2014)"	1
"A New Beginning (2012)"	1
"7,62 High Calibre ()"	1
"2ft3r23 ()"	1
"2048 ()"	1
"1954 Alcatraz ()"	1
"(???) ufc ()"	1
"(???) andere viele Spiele (Nicht-Steam) ()"	1
"(???) andere viele Spiele ()"	1
"(???) X-Plane ()"	1
"(???) Witcher 4 ()"	1
"(???) Super Smash Bros. ()"	1
"(???) Super Mario Spiele ()"	1
"(???) Sudoku ()"	1
"(???) Spider Solitaire ()"	1
"(???) South Park ()"	1
"(???) Silent Hill 3 + 4 ()"	1
"(???) Siedler ()"	1
"(???) SNES-Emulator (verschiedene Spiele) ()"	1
"(???) Professor Layton ()"	1
"(???) Pro Evolution Soccer ()"	1
"(???) Postal ()"	1
"(???) Portal 1/2 ()"	1
"(???) Portal / Portal 2 ()"	1
"(???) Ni No Kuni ()"	1
"(???) Metro ()"	1
"(???) Hyperdimension Neptunia ()"	1
"(???) Hitman ()"	1
"(???) Guitar Hero ()"	1
"(???) Deponia Complete Saga ()"	1
"(???) Crash Bandicoot 2 ()"	1
"(???) Borderlands serie ()"	1
"(???) Borderlands 1/2 ()"	1
"(???) Blitzkrieg Anthology ()"	1
"(???) Bioshock Reihe ()"	1
"(???) Binding of Isaac Rebirth Afterbirht ()"	1
"(???) ArmoredWarfare ()"	1
"(???) Anno ()"	1
"(???) Amored Warfrare ()"	1
"(???) Amored Warfare ()"	1
"(???) Age of Conan ()"	1
