"Titel"	"Nennungen"
"Dead Rising 3 (2013)"	1
"Dead Man's Draw (2014)"	1
"Dead Island: Riptide (2013)"	1
"Dead Frontier ()"	1
"Das Schwarze Auge: Schicksalsklinge (2013)"	1
"Dark Souls (2011)"	1
"Darksiders (2010)"	1
"darkest dungeon (2015)"	1
"Crysis 2 (2011)"	1
"Crysis (2007)"	1
"Crypt of the NecroDancer (2015)"	1
"Crusader Kings II (2012)"	1
"Counter-Strike: Source (2004)"	1
"Contraption Maker (2014)"	1
"Chrono Trigger (2008)"	1
"Chroma Squad (2015)"	1
"Child of Light (2014)"	1
"Chaos auf Deponia (2012)"	1
"Catlateral Damage (2015)"	1
"Cat Goes Fishing (2015)"	1
"Castle Crashers (2008)"	1
"Candy Crush Saga (2012)"	1
"Call of Duty: World at War (2008)"	1
"Bulb Boy ()"	1
"Brothers: A Tale of Two Sons (2013)"	1
"Bound by Flame (2014)"	1
"Borderlands (2009)"	1
"Blade & Soul (2016)"	1
"BioShock Infinite (2013)"	1
"Bioshock (2008)"	1
"Battlefield 3 (2011)"	1
"(???) Battlefield ()"	1
"Batman: Arkham Knight (2015)"	1
"Batman: Arkham Asylum (2009)"	1
"Bastion (2011)"	1
"Banished (2014)"	1
"Baldur's Gate II: Schatten von Amn (2006)"	1
"Assassin's Creed: Unity (2014)"	1
"Assassin's Creed II (2009)"	1
"ARK: Survival Evolved (2015)"	1
"Anno 2070 (2012)"	1
"Animal Crossing: New Leaf (2013)"	1
"(???) andere viele Spiele (Nicht-Steam) ()"	1
"(???) andere viele Spiele ()"	1
"Among the Sleep (2015)"	1
"Alone in the Dark: The New Nightmare (2001)"	1
"Age of Empires (1997)"	1
