"Unbekannter Titel"	"Nennungen"
"Nobunaga's Ambition"	1
"Neo Scavanger"	1
"PCF13 (Basketballmanager)"	1
"Unreal Tournament: Game of the year Edition"	1
"Planet Explorers"	1
"Suikoden 2"	1
"Secret Files: Sam Peters"	1
"Shadowrun Dragonfall DC"	1
"Lego Dimensions"	1
"StarCraft 2 - Legacy of the Void"	1
"Quake 3 Arena (CPMA)"	1
"Lara Croft and the Tempel of Osiris"	1
"Ni Nu Kuni"	1
"Space Engineers (PC)"	1
"Resident Evil™ 5/ Biohazard 5®"	1
"Red Ochestra 2"	1
"Middel Earth.Shadow of Mordor"	1
"SC2"	1
"Soulcalibur 3"	1
"Republiqe remasterd"	1
"Rollers of the Realm"	1
"Shin Megami Tensei IMAGINE"	1
"Warhammer 40K: Dawn of War 2: Retribution"	1
"Civilization 5  beyond earth"	1
"Gabriel Knight 3: Blood of the Sacred; Blood of the Damned"	1
"Pokemon Super Mystery Dungeon"	1
"No One Lives Forever (1)"	1
"Killing Flor 2"	1
"The Raven - Vermächtnis eines Meisterdiebs"	1
"Spellforce: Platinum Collection"	1
"Evoland II"	1
"Saints Row: IV"	1
"Saints Row V"	1
"Super Acalanche"	1
"Warhammer 40;000: Dawn of War II: Retribution"	1
"Stock Car Extreme"	1
"Silver 1999"	1
"Minecraft FTB"	1
"Star Wars Knights  of the old reupblic"	1
"Open Red Alert"	1
"Simfarm"	1
"Ace Attorney - All for Justice"	1
"STAR WARS™ Knights of the Old Republic™ II: The Sith Lords™"	1
"Sonstige Free2Play Games"	1
"Star Citizens"	1
"Lego Dimensons"	1
"Sims 2 (Playstation 2)"	1
"Lord of the Dark Castle"	1
"Poject Cars"	1
"Mass Effect Franchise"	1
"Lovely Planet"	1
"Oceanhorn"	1
"Sudoku Daily"	1
"Left 4"	1
"Resident Evil 6 / Biohazard 6"	1
"Life is Feudal Your Own"	1
"Mechcommander"	1
"Pathologic HD Remastered"	1
"lotro"	1
"Dark Souls II - Scholar of the First Sin (PC)"	1
"Star Saviors"	1
"Dawn of War2"	1
"Larva Mortus"	1
"Space Engeniers"	1
"Batman: Arkham City - Game of the Year Edition"	1
"Oddworld: New n Tasty"	1
"Sakura Angels"	1
"Pokemon Shuffle"	1
"Super Mario Smash Tennis"	1
"Gameboy-Advance-Emulator (verschiedene Spiele)"	1
"Riddik Escape from Butcherbay"	1
"Star Wars: Knights of the Old Republic 2 The Sith Lords (Windows)"	1
"Saint Row III"	1
"Sonic Lost World"	1
"LifeIsStrange"	1
"Omerta City of Gangsters"	1
"Super Stardust Ultra"	1
"Hyperdimension Neptunia ReBirth2 Sisters Generation"	1
"Pro Evolution Soccer 2016"	1
"Otherland"	1
"Idolm@ster: Cinderella Girls Starlight Stage"	1
"Game of Thrones - A Telltale Game Series (PC)"	1
"Dominion (Kartespieladaption auf https://www.playdominion.com)"	1
"Resident Evil 5 / Biohazard 5"	1
"Super Mario World (SNES)"	1
"Magic Arena"	1
"Hypderdimension Neptunia ReBirth 3 V Generation"	1
"State of decay year one"	1
"Mass effect 1;2;3"	1
"The elder scrolls online Tamriel Unlimited"	1
"Mech Commander II"	1
"Phantom Pain"	1
"Lifeline"	1
"SimCity 4 Deluxe"	1
"pillars of enternity"	1
"Monanco what`s yours is mine"	1
"Starcraft / Brood War"	1
"Redguard An Elder Scrolls Adventure"	1
"Chains Of Satinav"	1
"Middle-earth™: Shadow of Mordor™"	1
"Parkan 2"	1
"Madden NFL 16"	1
"Resident Evil HD Remake"	1
"PES 2016"	1
"Super Sudoku"	1
"Men of War Assault Squad"	1
"RymdResa"	1
"Metal Gear Solid 5: The Phantom Pain (Windows)"	1
"Renowned Explorer"	1
"Schafkopf"	1
"Leisure Suit Larry 1"	1
"Starsector"	1
"Return to Castle Wolfenstein - Platinum Edition"	1
"X-Wing vs Tie Fighter"	1
"skyforge"	1
"Spiral Knights"	1
"RaceRoom Racing Experience (PC)"	1
"Mario & Luigi - Paper Jam Bros."	1
"Movie Battles 2 (MOD JKA)"	1
"Magic Duels (Magic: The Gathering)"	1
"Need For Speed Most Wanted 5-1-0"	1
"Rock Band 4"	1
"Simpsons tappedout"	1
"STAR WARS™ Knights of the Old Republic™ II: The Sith Lords"	1
"Prominence"	1
"Sonic & Allstar Racing Transformed"	1
"Spirits Of Xnaadu"	1
"NR2003 Racing Season"	1
"Our Love will growe"	1
"Roommates"	1
"RaceRoom"	1
"Grand Theft Auto Online"	1
"ProjectCARS"	1
"Rocked League"	1
"Magick: 2014"	1
"The Binding Of Isaac Rebirth (Afterbirth DLC)"	1
"Simple Planes"	1
"Missing Translation"	1
"QUAKE: THE OFFERING"	1
"One More Dungeon"	1
"Dr. Langeskov; The Tiger; and The Terribly Cursed Emerald A Whirlwind Heist"	1
"Frame Protector Sync (http://www.kongregate.com/games/innomin/f-p-s)"	1
"life Is Strage"	1
"The Incredible Adventures of Van Helsing: Final Cut"	1
"Middle Earth: Shadows of Mordor"	1
"Serious Sam 2"	1
"Styx: Master of the Shadow"	1
"Postal 3"	1
