"Titel"	"Anzahl"
"F.E.A.R. 3 (2011)"	2
"Assassins creed 4 (2013)"	2
"Modern Warfare 2 (2009)"	2
"Blood Bowl Chaos Edition (2009)"	2
"Gran Tourismo 6 (2013)"	2
"Race 07 (2009)"	2
"Dragon Age: Origins (2009)"	2
"Counter Strike:Global Offensive (2012)"	2
"Guns of Icarus Online (2012)"	2
"Binding of Isaac (2011)"	2
"Final Fantasy (2008)"	2
"L.A. Noire (2011)"	2
"Forza 4 (2011)"	2
"Super Mario World (1992)"	2
"Defense Grid: The Awakening (2009)"	2
"Zelda ()"	2
"Wasteland 2 (2014)"	2
"LA Noire (2011)"	2
"Castlevania (2003)"	2
"Far Cry 2 (2008)"	2
"chivalry (2012)"	2
"xcom ()"	2
"COH 2 (2013)"	2
"max payne 3 (2012)"	2
"Space Hulk ()"	2
"Rome II (2013)"	2
"Trials Evolution Gold Edition (2012)"	2
"Sins of a Solar Empire Rebellion (2008)"	2
"Tera Online (2011)"	2
"Super Mario 3D Land (2011)"	2
"Shoot Many Robots (2012)"	2
"Witcher II (2011)"	2
"Desktop Dungeons ()"	2
"PlanetSide 2 (2013)"	2
"Interstellar Marines ()"	2
"Synergy (2004)"	2
"The Binding of Issac (2011)"	2
"Spec Ops The Line (2012)"	2
"The Lord of the Rings: War in the North (2011)"	2
"Dungeon Keeper 2 (1999)"	2
"Evil Genius (2004)"	2
"X Rebirth (2013)"	2
"Tom Clancy's Splinter Cell: Blacklist (2013)"	2
"Sid Meier´s Civilization V (2011)"	2
"Eurotruck Simulator 2 (2012)"	2
"DayZ Mod (2009)"	2
"Ingress (2012)"	2
"Super Mario ()"	2
"Kingdom Rush (2011)"	2
"Final Fantasy 13 (2010)"	2
"CoD Black Ops 2 (2012)"	2
"Forza 5 (2013)"	2
"Poker Night at the Inventory (2010)"	2
"Race the Sun (2014)"	2
"Cry of Fear (2013)"	2
"Assassin's Creed Black Flag (2013)"	2
"Audiosurf 2 (2013)"	2
"Blades of Time (2012)"	2
"Counter Strike : Global Offensive (2012)"	2
"Hitman: Absolution (2012)"	2
"Need for Speed Rivals (2013)"	2
"Medal of Honor Warfighter (2012)"	2
"Dead island (2011)"	2
"diablo 3 (2012)"	2
"Tropico 3 (2009)"	2
"Der Herr der Ringe Online (2007)"	2
"Pixel Junk Eden (2008)"	2
"How to Survive (2013)"	2
"Resident evil (2010)"	2
"Arma 2 Operation Arrowhead (2009)"	2
"Assassins Creed ()"	2
"CoD Ghost (2013)"	2
"Quake 4 (2011)"	2
"Zombie U (2012)"	2
"Xonotic ()"	2
"Counter Strike Go (2012)"	2
"Hearthstone: Heroes of Warcraft (2014)"	2
"Animal Crossing New Leaf (2013)"	2
"Revenge of the Titans (2010)"	2
"Prime World Defenders (2013)"	2
"Assassin's Creed 4: Black Flag (2013)"	2
"Lucius (2012)"	2
"Halo 3 (2009)"	2
"Gran Turismo 5 (2010)"	2
"Call Of Duty Modern Warfare 3 (2011)"	2
"The Legend of Zelda Ocarina of Time (1998)"	2
"Cod Ghosts (2013)"	2
"Sword of the Stars: The Pit (2013)"	2
"Kronos (2013)"	2
"The Walking Dead Season Two ()"	2
"Binding Of Isaac (2011)"	2
"Total War Rome II (2013)"	2
"Startopia (2012)"	2
"COD MW3 (2011)"	2
"RAGE (2011)"	2
"Borderlands2 (2012)"	2
"Pinball Arcade (2014)"	2
"CS: GO (2012)"	2
"Rfactor (2007)"	2
"Worms Armageddon (2013)"	2
"Giana Sisters Twisted Dreams (2013)"	2
"Rimworld ()"	2
"Killzone (2004)"	2
"counter strike (2003)"	2
"DOTA2 (2013)"	2
"Tetris ()"	2
"Gothic 2 DNdR (2003)"	2
"Rogue Legacy (Steam) (2014)"	2
"Marvel Heroes (2013)"	2
"FarCry 3 (2012)"	2
"Grand Theft Auto IV (2008)"	2
"Civilisation 5 (2011)"	2
"Shadow Warrior 2013 (1997)"	2
"Electronic Super Joy (2016)"	2
"Super Meat Boy (2015)"	2
"Metro Last Night (2013)"	2
"Rome 2 (2013)"	2
"Guacamelee (2013)"	2
"Fable 3 (2011)"	2
"Teslagrad (2014)"	2
"XCOM: Enemy within (2013)"	2
"Final Fantasy VIII (2000)"	2
"Call of Duty Modern Warfare (2007)"	2
"Guns of Icarus (2012)"	2
"Red Orchestra 2: Heroes of Stalingrad (2013)"	2
"Rising Storm/Red Orchestra 2 Multiplayer (2013)"	2
"GTA (1998)"	2
"Contrast (2013)"	2
"warframe (2013)"	2
"Dirt 3 (2011)"	2
"Rain (2013)"	2
"League Of Legends (2009)"	2
"Gothic II (2003)"	2
"The Legend of Zelda A Link Between Worlds (2013)"	2
"The Elder Scrolls V (2011)"	2
"Mafia ()"	2
"Sniper Elite: Nazi Zombie Army (2013)"	2
"SWTOR (2011)"	2
"GRID 2 (2013)"	2
"Batman: Arkham City (2011)"	2
"payday 2 (2013)"	2
"Age of Empires (1997)"	2
"Arma II (2009)"	2
"CoD (2003)"	2
"Legend of Dungeon (2013)"	2
"Thomas Was Alone (2013)"	2
"Dark souls (2011)"	2
"Fez (2014)"	2
"Sim City (2013)"	2
"Command and Conquer: Red Alert 3 (2008)"	2
"Rise of Venice (2015)"	2
"Solitär (2008)"	2
"Creeper World 3 ()"	2
"Surgeon Simulator 2013 (2013)"	2
"Call of Juarez Gunslinger (2006)"	2
"Total War Shogun 2 (2011)"	2
"XCom ()"	2
"Leauge of Legends (2009)"	2
"FTL: Faster Than Light (2012)"	2
"Counter Strike Global offensive (2012)"	2
"Red Orchestra (2006)"	2
"Black Mesa (2004)"	2
"Counterstrike Source (2004)"	2
"enemy territory (2003)"	2
"far cry 3 blood dragon (2013)"	2
"Need for Speed (2015)"	2
"Stronghold 2 (2010)"	2
"Space Pirates and Zombies (2011)"	2
"LA Noir (2011)"	2
"Dust: An Elysian Tale (2014)"	2
"Need for Speed Hot Pursuit (2010)"	2
"Beatbuddy ()"	2
"CS:Go (2012)"	2
"Darkout (2013)"	2
"Baldur's Gate 2 Enhanced Edition (2006)"	2
"Papers Please (2013)"	2
"Grand Theft Auto 5 (2013)"	2
"Beyond two souls (2015)"	2
"Assasins Creed IV (2013)"	2
"Skyrim Legendary Edition (2011)"	2
"The Elder Scrolls V Skyrim (2011)"	2
"call of duty ghost (2013)"	2
"Star Wars: The old Republic (2011)"	2
"The Wolf Among Us (2014)"	2
"Testament of Sherlock Holmes ()"	2
"Assassin's Creed ()"	2
"LoL (2009)"	2
"Race07 (2009)"	2
"Space Engineers (2013)"	2
"Splinter Cell Conviction (2010)"	2
"Stronghold Crusader (2002)"	2
"Call of Duty 4 (2007)"	2
"Halflife 2 (2004)"	2
"Dayz Standalone (2013)"	2
"Killing floor (2009)"	2
"CoD MW2 (2009)"	2
"Beat Hazard (2010)"	2
"Lollipop Chainsaw (2012)"	2
"Battlefield: Bad Company 2 (2010)"	2
"Baldurs Gate 1 (2000)"	2
"Pro Evolution Soccer 2014 (2013)"	2
"Crysis3 (2013)"	2
"SWToR (2011)"	2
"Dragon Age II (2011)"	2
"Battlefield 4 Premium (2013)"	2
"Organ Trail (2013)"	2
"Sacred 2 (2009)"	2
"No More Room in Hell (2013)"	2
"TES V Skyrim (2011)"	2
"Tomb Raider 2 (1998)"	2
"Elsword (0)"	2
"Battlefield 3 Premium (2011)"	2
"Rouge Legacy (2014)"	2
"Star Wars the old Republic (2011)"	2
"DLC Quest (2011)"	2
"Batman ()"	2
"Civ 5 (2011)"	2
"Payday - The Heist (2011)"	2
"OMSI ()"	2
"bf4 (2013)"	2
"The Whispered World (2012)"	2
"Fallout NV (2010)"	2
"Tearaway (2013)"	2
"Assasins Creed IV: Black Flag (2013)"	1
"Battlefield  4 (2013)"	1
"F1 2012 (2012)"	1
"Craft the World (2014)"	1
"Orcs must Die 2 (2012)"	1
"Doorways ()"	1
"Alien Breed (1991)"	1
"day of defeat source (2005)"	1
"Metal Gear Rising: Revengeance (2013)"	1
"starcraft 2 (2010)"	1
"Diverse Flash Spiele ()"	1
"The Walking Dead: Season 1 ()"	1
"Metal Gear Solid 4: Guns of the Patriots (2008)"	1
"Half-Life 2 Deathmatch (2004)"	1
"Voro ()"	1
"Agarest Generations of War (2013)"	1
"Call od Duty Black Ops 2 (2012)"	1
"SSF IV (2010)"	1
"Knights of the Old Republic 1 ()"	1
"SpaceBase DF-9 (2013)"	1
"Sid Meiers Civilisation 5 (2011)"	1
"Ninja Gaiden 2 (2008)"	1
"LEGO: Marvel Super Heroes (Xbox One) (2013)"	1
"BioShock infinite (2013)"	1
"7 Day to Die (2013)"	1
"Knights of Pen and Paper +1 ()"	1
"Earthworm Jim (1995)"	1
"X-Com ()"	1
"The incredible Adventures of Van Helsing (2013)"	1
"S.P.A.Z. (2011)"	1
"Age Of Empires (1997)"	1
"Stickman Soccer ()"	1
"Professor Layton ()"	1
"WoT (2011)"	1
"The Last Story (2012)"	1
"Worms (1995)"	1
"ANNO 2040 (2012)"	1
"Aerena ()"	1
"WOTR (2012)"	1
"King's Bounty: Warriors of the North (2012)"	1
"Hearts of Iron II: Doomsday (2005)"	1
"Haunting Ground (2005)"	1
"UT99 (1999)"	1
"Witcher (2007)"	1
"Day Z standalone (2013)"	1
"Final Fantasy 4 (PSX) (2001)"	1
"Dear Iceland (2011)"	1
"The Elder Scrolls IV (2006)"	1
"AC:4 BF (2013)"	1
"Saints Row : The Third (2011)"	1
"TERA (2011)"	1
"Yakuza 3 (2009)"	1
"Fable III (2011)"	1
"Splinter Cell 3 (2009)"	1
"Mega Man 9 (2008)"	1
"castle crashers (2008)"	1
"Lilly Looking Through (2013)"	1
"Max Payne 2 (2008)"	1
"Master Of Orion 2 (1996)"	1
"Dragon's Dogma: Dark Arisen (2012)"	1
"cs condition zero (2005)"	1
"Eternal Sonata (2007)"	1
"Industriegigant 2 ()"	1
"Dragon Age: Origins + Addon (2009)"	1
"KSP (2012)"	1
"Mousecraft (2014)"	1
"Orcs must die! (2011)"	1
"BF4 Premium (2013)"	1
"DOTA 2 (2013)"	1
"GTA 4 EFLC (2008)"	1
"Ys Origin (2006)"	1
"Asseto Corsa (2014)"	1
"Resident Evil Revelations UE (2012)"	1
"Company of Heros (2006)"	1
"Zelda WW HD (2003)"	1
"Star Wars: The old republic (2011)"	1
"Day of the tentacle (1993)"	1
"Transformice (2010)"	1
"Wing Commander Saga (Freeware) ()"	1
"SimCity (2013)"	1
"The Elder Scrolls Morrowind (2002)"	1
"Sacred Underworld (2004)"	1
"BioShock Infinte (2013)"	1
"fallut new vegas (2010)"	1
"Magrunner (2013)"	1
"far cry 3 (2012)"	1
"Spellforce 1 (2003)"	1
"Open Arena ()"	1
"X Com Enemy Unknown (2012)"	1
"Tom Clancy's Splinter Cell® Blacklist™ (2013)"	1
"Sesamstraße: Es war einmal ein Monster ()"	1
"fallout new veags (2010)"	1
"Bettlefield 3 Limited Edition (2011)"	1
"M&M: Duel of Champions (2013)"	1
"Risen2 (2012)"	1
"Skylanders Swapforce Giants ()"	1
"Pirate Galaxy ()"	1
"need for speed underground 2 (2004)"	1
"Mass Effect 1-3 ()"	1
"Crimson Dragon (2013)"	1
"Alicia Online ()"	1
"Fate of the World (2011)"	1
"Batman Reihe ()"	1
"World of Warcraft Mist of Pandaria (2005)"	1
"Penumbra: Overture (2009)"	1
"Cilvilization 5 (2011)"	1
"XCOM: Enemy Within (2013)"	1
"The Walking Dead Episode 1 ()"	1
"Final Fantasy XIII (2010)"	1
"Capsized (2011)"	1
"Gothic 2: Gold (2003)"	1
"Prison Architect (2013)"	1
"Metal gear solid 4 (2008)"	1
"The Sims 3 (2010)"	1
